entity_id,entity_name,entity_type,alias,alias_type,source
EVT_ROAD_INTERRUPTION,公路中断,Event,集装箱坠落,scene_expression,案例抽取自动补充:001_港口疏港道路集装箱锁扣脱落坠箱事故_4c1cef4c
EVT_VEHICLE_BACKLOG,车辆积压,Event,集装箱坠落,scene_expression,案例抽取自动补充:001_港口疏港道路集装箱锁扣脱落坠箱事故_4c1cef4c
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,轨道交通车辆碰撞,scene_expression,案例抽取自动补充:002_城市有轨电车与私家车路口碰撞事故_0b6ebf40
EVT_HUB_INTERRUPTION,重要客运枢纽运行中断,Event,轨道交通车辆碰撞,scene_expression,案例抽取自动补充:002_城市有轨电车与私家车路口碰撞事故_0b6ebf40
EVT_VEHICLE_BACKLOG,车辆积压,Event,驾驶员缺氧昏迷车辆失控,scene_expression,案例抽取自动补充:003_高原公路缺氧致驾驶员昏迷车辆失控事故_7f42eea9
EVT_ROAD_DAMAGE,公路损毁,Event,驾驶员缺氧昏迷车辆失控,scene_expression,案例抽取自动补充:003_高原公路缺氧致驾驶员昏迷车辆失控事故_7f42eea9
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,车辆冲撞,scene_expression,案例抽取自动补充:004_农村逢集日集市路段货车失控冲撞事故_1ad077f7
EVT_ROAD_INTERRUPTION,公路中断,Event,车辆冲撞,scene_expression,案例抽取自动补充:004_农村逢集日集市路段货车失控冲撞事故_1ad077f7
EVT_ROAD_BLOCKAGE,公路阻塞,Event,车辆剐蹭,scene_expression,案例抽取自动补充:006_老城区窄巷消防车出警被违停车辆堵路剐蹭事故_b7878762
EVT_ROAD_INTERRUPTION,公路中断,Event,车辆剐蹭,scene_expression,案例抽取自动补充:006_老城区窄巷消防车出警被违停车辆堵路剐蹭事故_b7878762
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆剐蹭,scene_expression,案例抽取自动补充:006_老城区窄巷消防车出警被违停车辆堵路剐蹭事故_b7878762
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,道路塌方,scene_expression,案例抽取自动补充:007_山区挂壁公路落石阻断车辆被困事故_274b896b
EVT_ROAD_BLOCKAGE,公路阻塞,Event,道路塌方,scene_expression,案例抽取自动补充:007_山区挂壁公路落石阻断车辆被困事故_274b896b
EVT_TRAFFIC_ACCIDENT,交通事故,Event,电动自行车碰撞,scene_expression,案例抽取自动补充:009_共享单车投放车占道卸车引发电动车连环碰撞事故_8cb9c09c
EVT_TRAFFIC_ACCIDENT,交通事故,Event,浮桥倾斜,scene_expression,案例抽取自动补充:010_黄河滩区浮桥车辆超重致浮桥倾斜事故_e41cbeba
EVT_ROAD_INTERRUPTION,公路中断,Event,浮桥倾斜,scene_expression,案例抽取自动补充:010_黄河滩区浮桥车辆超重致浮桥倾斜事故_e41cbeba
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆碰撞,scene_expression,案例抽取自动补充:011_机场高速机场摆渡车与私家车碰撞事故_df7df7c9
EVT_PASSENGER_STRANDING,旅客滞留,Event,车辆碰撞,scene_expression,案例抽取自动补充:011_机场高速机场摆渡车与私家车碰撞事故_df7df7c9
EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,Event,施工车辆坠坑,scene_expression,案例抽取自动补充:012_城市地下综合管廊出入口施工车辆撞毁围挡坠坑事故_d332a374
EVT_CONSTRUCTION_SAFETY,施工安全事故,Event,施工车辆坠坑,scene_expression,案例抽取自动补充:012_城市地下综合管廊出入口施工车辆撞毁围挡坠坑事故_d332a374
EVT_TRAFFIC_ACCIDENT,交通事故,Event,施工车辆坠坑,scene_expression,案例抽取自动补充:012_城市地下综合管廊出入口施工车辆撞毁围挡坠坑事故_d332a374
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆侧翻,scene_expression,案例抽取自动补充:013_牧区公路牧群卧路致车辆急刹侧翻事故_9c3ec136
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆侧翻,scene_expression,案例抽取自动补充:013_牧区公路牧群卧路致车辆急刹侧翻事故_9c3ec136
EVT_TRAFFIC_ACCIDENT,交通事故,Event,新能源汽车电池热失控,scene_expression,案例抽取自动补充:014_城市高架路新能源汽车电池热失控冒烟事故_4b6eb5fb
EVT_FLOOD,洪水,Event,漫水桥被困,scene_expression,案例抽取自动补充:015_乡村漫水桥洪水上涨车辆被困事故_ba2b1a48
EVT_ROAD_INTERRUPTION,公路中断,Event,漫水桥被困,scene_expression,案例抽取自动补充:015_乡村漫水桥洪水上涨车辆被困事故_ba2b1a48
EVT_TRAFFIC_ACCIDENT,交通事故,Event,油罐车静电火灾,scene_expression,案例抽取自动补充:016_高速服务区油罐车卸油时静电起火事故_70e84647
EVT_PRODUCTION_ACCIDENT,公路交通运输生产事故,Event,道路交通碰撞,scene_expression,案例抽取自动补充:017_城市BRT专用道社会车辆闯入与公交碰撞事故_6a5371cb
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,道路交通碰撞,scene_expression,案例抽取自动补充:017_城市BRT专用道社会车辆闯入与公交碰撞事故_6a5371cb
EVT_TRAFFIC_ACCIDENT,交通事故,Event,道路交通碰撞,scene_expression,案例抽取自动补充:017_城市BRT专用道社会车辆闯入与公交碰撞事故_6a5371cb
EVT_FOREST_GRASS_FIRE,森林草原火灾,Event,车辆起火,scene_expression,案例抽取自动补充:018_山区盘山公路挂车刹车过热起火事故_518896b3
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆起火,scene_expression,案例抽取自动补充:018_山区盘山公路挂车刹车过热起火事故_518896b3
EVT_VEHICLE_BACKLOG,车辆积压,Event,道路交通拥堵,scene_expression,案例抽取自动补充:019_城市校园周边接送学生车辆违停引发剐蹭拥堵事故_f673cea7
EVT_ROAD_DAMAGE,公路损毁,Event,道路积水,scene_expression,案例抽取自动补充:020_沿海滩涂养殖区道路潮汐淹没车辆被困事故_ec74207e
EVT_TRAFFIC_ACCIDENT,交通事故,Event,道路积水,scene_expression,案例抽取自动补充:020_沿海滩涂养殖区道路潮汐淹没车辆被困事故_ec74207e
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆自燃,scene_expression,案例抽取自动补充:021_高速公路跨江大桥车辆自燃致桥面铺装受损事故_c808f0b7
EVT_ROAD_INTERRUPTION,公路中断,Event,车辆自燃,scene_expression,案例抽取自动补充:021_高速公路跨江大桥车辆自燃致桥面铺装受损事故_c808f0b7
EVT_ROAD_DAMAGE,公路损毁,Event,车辆自燃,scene_expression,案例抽取自动补充:021_高速公路跨江大桥车辆自燃致桥面铺装受损事故_c808f0b7
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆自燃,scene_expression,案例抽取自动补充:021_高速公路跨江大桥车辆自燃致桥面铺装受损事故_c808f0b7
