id:ID,name,entity_type_cn,:LABEL
EVT_CASE_CFB06DE8B6,集装箱坠落,突发事件,PlanEntity;Event
EVT_CASE_2452F9E161,集装箱锁扣脱落,突发事件,PlanEntity;Event
RES_CASE_D4ABD76FD8,集装箱,应急资源,PlanEntity;Resource
MEA_CASE_F94FB51CC7,吊装集装箱,措施,PlanEntity;Action
MEA_CASE_B8E6D970FB,现场处置,措施,PlanEntity;Action
EVT_CASE_A307AFAAF9,轨道交通车辆碰撞,突发事件,PlanEntity;Event
MEA_CASE_6BA428A393,正面碰撞,措施,PlanEntity;Action
EVT_CASE_3608E528C9,驾驶员昏迷,突发事件,PlanEntity;Event
EVT_CASE_42AEE3CEDE,车辆失控,突发事件,PlanEntity;Event
EVT_CASE_9C46869EC1,高原缺氧,突发事件,PlanEntity;Event
EVT_CASE_3D68393BCE,车辆冲撞,突发事件,PlanEntity;Event
MEA_CASE_80354268E0,刹车失灵,措施,PlanEntity;Action
RES_CASE_F6D6DD254E,轻型货车,应急资源,PlanEntity;Resource
EVT_CASE_4D219D5D07,追尾事故,突发事件,PlanEntity;Event
MEA_CASE_E0D63B2EA6,匝道倒车,措施,PlanEntity;Action
EVT_CASE_F4AFE9A596,车辆剐蹭,突发事件,PlanEntity;Event
RES_CASE_E88979D653,私家车,应急资源,PlanEntity;Resource
EVT_CASE_091BB1089D,火灾,突发事件,PlanEntity;Event
MEA_CASE_0FB4540844,剐蹭,措施,PlanEntity;Action
MEA_CASE_18D4FA011E,挪车,措施,PlanEntity;Action
MEA_CASE_BD4F60454A,强制拖移,措施,PlanEntity;Action
EVT_CASE_7AE62429F5,道路塌方,突发事件,PlanEntity;Event
EVT_CASE_2688158F89,落石,突发事件,PlanEntity;Event
RES_CASE_D729373386,挂壁公路,应急资源,PlanEntity;Resource
MEA_CASE_D6EBF96E6B,清理路面落石,措施,PlanEntity;Action
MEA_CASE_F96A8C6D8D,临时加固,措施,PlanEntity;Action
EVT_CASE_40582771C8,制冷剂泄漏,突发事件,PlanEntity;Event
RES_CASE_F90D9B6E29,非机动车道,应急资源,PlanEntity;Resource
MEA_CASE_46E14B4BB4,占道卸车,措施,PlanEntity;Action
EVT_CASE_CDC0D51B18,浮桥倾斜事故,突发事件,PlanEntity;Event
