case_id,case_title,object_type,object_name,object_role,risk_level,risk_reason,confidence,evidence,import_action
001_城市十字路口两车轻微追尾事故_b4d61ea1,城市十字路口两车轻微追尾事故,case,城市十字路口两车轻微追尾事故,case,HIGH,case_empty_relations,0.8000,某市主干道十字路口，早高峰期间车流量较大。一辆小型轿车在红灯亮起时正常刹车，后方跟随的一辆SUV因驾驶员跟车过近、注意力不集中，刹车不及，导致前保险杠轻微撞击前车后保险杠。,needs_reextract
002_城市快速路私家车抛锚阻断单车道事故_f2054a0c,城市快速路私家车抛锚阻断单车道事故,case,城市快速路私家车抛锚阻断单车道事故,case,HIGH,case_empty_relations,0.8000,某市城市快速路（限速80km/h）平直路段，一辆小型轿车在行驶过程中突发水温过高报警，随后发动机熄火抛锚在最右侧行车道内。驾驶员开启了双闪灯，但未在车后放置三角警示牌。,needs_reextract
003_乡村公路轻型货车纸箱散落事故_0e8fe05c,乡村公路轻型货车纸箱散落事故,case,乡村公路轻型货车纸箱散落事故,case,HIGH,case_empty_relations,0.8000,某乡村两车道公路，一辆装载快递纸箱的轻型货车在行驶中，因车厢绳索松动，导致十余个空纸箱散落至对向车道及路边。当时天气晴朗，过往车辆较少。,needs_reextract
004_小区门口电动自行车与行人轻微碰撞事故_3e12673c,小区门口电动自行车与行人轻微碰撞事故,entity,电动自行车,Resource,MEDIUM,resource_civilian_vehicle,0.9500,一辆外卖电动自行车,kept_with_risk
004_小区门口电动自行车与行人轻微碰撞事故_3e12673c,小区门口电动自行车与行人轻微碰撞事故,entity,行人,Resource,MEDIUM,resource_weak_semantics,0.9500,一名刚走出小区的行人,kept_with_risk
004_小区门口电动自行车与行人轻微碰撞事故_3e12673c,小区门口电动自行车与行人轻微碰撞事故,entity,碰撞,Action,MEDIUM,action_weak_semantics,0.8500,发生轻微碰撞,kept_with_risk
005_高速公路收费站入口抢道剐蹭事故_87997115,高速公路收费站入口抢道剐蹭事故,case,高速公路收费站入口抢道剐蹭事故,case,HIGH,case_empty_relations,0.8000,某高速公路收费站ETC入口通道前，一辆轿车与一辆MPV因未按序排队，在汇流处争抢进入ETC车道，导致两车侧面发生轻微刮擦。,needs_reextract
007_高架桥私家车燃油耗尽抛锚事故_d357874e,高架桥私家车燃油耗尽抛锚事故,relation,车辆抛锚-TRIGGERS-驾驶员疏忽,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,一辆小型轿车因驾驶员疏忽，未注意油表报警,kept_with_risk
008_商场地下车库溜车剐蹭事故_a3b70295,商场地下车库溜车剐蹭事故,case,商场地下车库溜车剐蹭事故,case,HIGH,case_empty_relations,0.8000,某大型商场地下车库，一辆SUV驾驶员在寻找车位时临时停车接听电话，因忘记拉手刹，车辆在微小坡度上发生缓慢后溜，尾部顶到后方停放的一辆小轿车车头。,needs_reextract
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,entity,出租车,Resource,MEDIUM,resource_weak_semantics,0.9500,一辆出租车为了抢客突然向右变道,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,entity,变道,Action,MEDIUM,action_weak_semantics,0.8000,出租车为了抢客突然向右变道,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,entity,碰撞,Action,MEDIUM,action_weak_semantics,0.9000,出租车右侧后视镜与公交车左前角发生轻微碰擦,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,relation,变道-REQUIRES-出租车,Action->Resource,MEDIUM,relation_fallback_inferred,0.6200,出租车为了抢客突然向右变道,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,relation,车辆碰撞-TRIGGERS-变道,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,出租车为了抢客突然向右变道,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,relation,碰撞-REQUIRES-出租车,Action->Resource,MEDIUM,relation_fallback_inferred,0.6200,出租车右侧后视镜与公交车左前角发生轻微碰擦,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,relation,车辆碰撞-TRIGGERS-碰撞,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,出租车右侧后视镜与公交车左前角发生轻微碰擦,kept_with_risk
010_郊区公路小型家具掉落占用车道事故_4bbf336b,郊区公路小型家具掉落占用车道事故,case,郊区公路小型家具掉落占用车道事故,case,HIGH,case_empty_relations,0.8000,某郊区公路上，一辆敞篷小货车在帮居民搬家时，因绑扎不牢，一张单人床垫从车厢滑落，掉在道路正中央。货车驾驶员未发现并继续驶离。,needs_reextract
011_城市隧道内两车变道轻微剐蹭事故_a356deb0,城市隧道内两车变道轻微剐蹭事故,entity,变道,Action,MEDIUM,action_weak_semantics,0.8000,一辆白色轿车在虚线路段向左变道时,kept_with_risk
011_城市隧道内两车变道轻微剐蹭事故_a356deb0,城市隧道内两车变道轻微剐蹭事故,entity,隧道,Resource,MEDIUM,resource_weak_semantics,0.9000,某市穿山隧道内,kept_with_risk
013_道路施工临时围挡倾倒阻碍交通事故_dd8e4e79,道路施工临时围挡倾倒阻碍交通事故,entity,自来水管网改造,Action,MEDIUM,action_weak_semantics,0.9500,某城市次干道正在进行自来水管网改造,kept_with_risk
013_道路施工临时围挡倾倒阻碍交通事故_dd8e4e79,道路施工临时围挡倾倒阻碍交通事故,relation,道路施工安全事故-TRIGGERS-自来水管网改造,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,某城市次干道正在进行自来水管网改造,kept_with_risk
014_高速公路应急车道违停换胎未设警示事故_c628b222,高速公路应急车道违停换胎未设警示事故,entity,三角警示牌,Resource,MEDIUM,resource_weak_semantics,0.9000,未在车后放置三角警示牌；交警迅速在150米外放置三角警示牌,kept_with_risk
014_高速公路应急车道违停换胎未设警示事故_c628b222,高速公路应急车道违停换胎未设警示事故,entity,换胎,Action,MEDIUM,action_weak_semantics,0.8000,准备自行更换备胎；协助驾驶员在10分钟内快速换好备胎,kept_with_risk
015_学校周边接送车辆轻微碰瓷纠纷_4356839f,学校周边接送车辆轻微碰瓷纠纷,entity,私家车,Resource,MEDIUM,resource_civilian_vehicle,0.9000,一辆缓慢行驶的私家车侧面,kept_with_risk
