:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
MEA_CASE_6B219E66DE,RES_CASE_8AE47E20B6,调用,REQUIRES,004_小区门口电动自行车与行人轻微碰撞事故_3e12673c,小区门口电动自行车与行人轻微碰撞事故,一辆外卖电动自行车因急于送单车速较快，在拐弯处与一名刚走出小区的行人发生轻微碰撞,0.7000,案例抽取导入
MEA_CASE_6B219E66DE,RES_CASE_DA80C609AB,调用,REQUIRES,004_小区门口电动自行车与行人轻微碰撞事故_3e12673c,小区门口电动自行车与行人轻微碰撞事故,一辆外卖电动自行车因急于送单车速较快，在拐弯处与一名刚走出小区的行人发生轻微碰撞,0.7000,案例抽取导入
EVT_CASE_99B78A6A1D,EVT_CASE_F1015EFD7A,引发,CAUSES,006_城市主干道绿化树枝掉落砸车事故_696abce8,城市主干道绿化树枝掉落砸车事故,受大风天气影响，行道树上一截约手臂粗的枯树枝突然断裂掉落,0.9000,案例抽取导入
EVT_ROAD_INTERRUPTION,MEA_CASE_FB41145C9D,触发,TRIGGERS,007_高架桥私家车燃油耗尽抛锚事故_d357874e,高架桥私家车燃油耗尽抛锚事故,一辆小型轿车因驾驶员疏忽，未注意油表报警,0.6200,案例抽取导入
MEA_CASE_59284963EB,RES_CASE_EBFF834422,调用,REQUIRES,009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,出租车为了抢客突然向右变道,0.6200,案例抽取导入
EVT_CASE_9BDDC88CCC,MEA_CASE_59284963EB,触发,TRIGGERS,009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,出租车为了抢客突然向右变道,0.6200,案例抽取导入
MEA_CASE_6B219E66DE,RES_CASE_EBFF834422,调用,REQUIRES,009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,出租车右侧后视镜与公交车左前角发生轻微碰擦,0.6200,案例抽取导入
EVT_CASE_9BDDC88CCC,MEA_CASE_6B219E66DE,触发,TRIGGERS,009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,出租车右侧后视镜与公交车左前角发生轻微碰擦,0.6200,案例抽取导入
MEA_CASE_59284963EB,RES_CASE_42E3A09DF1,调用,REQUIRES,011_城市隧道内两车变道轻微剐蹭事故_a356deb0,城市隧道内两车变道轻微剐蹭事故,某市穿山隧道内（双向四车道），一辆白色轿车在虚线路段向左变道时...,0.7000,案例抽取导入
EVT_CASE_E0847BE751,EVT_CASE_F4726E4011,引发,CAUSES,012_共享单车雨天滑倒单方事故_9ae6c75d,共享单车雨天滑倒单方事故,某市非机动车道，小雨天气路面湿滑，一名年轻男子骑行共享单车在经过有积水的减速带时，捏前刹过猛导致前轮抱死，连人带车侧滑摔倒。,0.8000,案例抽取导入
EVT_CONSTRUCTION_ACCIDENT,MEA_CASE_0BD5E10FA1,触发,TRIGGERS,013_道路施工临时围挡倾倒阻碍交通事故_dd8e4e79,道路施工临时围挡倾倒阻碍交通事故,某城市次干道正在进行自来水管网改造,0.6200,案例抽取导入
MEA_CASE_4330D8A549,RES_CASE_56323FE07E,调用,REQUIRES,014_高速公路应急车道违停换胎未设警示事故_c628b222,高速公路应急车道违停换胎未设警示事故,但仅开启了双闪灯，未在车后放置三角警示牌,0.8000,案例抽取导入
EVT_CASE_9B7EAD055E,EVT_VEHICLE_BACKLOG,引发,CAUSES,015_学校周边接送车辆轻微碰瓷纠纷_4356839f,学校周边接送车辆轻微碰瓷纠纷,因双方发生争吵，车辆停在路中间，导致放学接送车流严重拥堵。,0.9000,案例抽取导入
MEA_CASE_B804A6CFD8,RES_CASE_E88979D653,调用,REQUIRES,015_学校周边接送车辆轻微碰瓷纠纷_4356839f,学校周边接送车辆轻微碰瓷纠纷,现场护学岗交警立即介入，疏导后方车辆绕行,0.7000,案例抽取导入
MEA_CASE_088FD13321,ORG_CASE_DA3B807A38,实施主体,IMPLEMENTED_BY,015_学校周边接送车辆轻微碰瓷纠纷_4356839f,学校周边接送车辆轻微碰瓷纠纷,交警对涉嫌碰瓷的路人进行严厉警告,0.8000,案例抽取导入
EVT_CASE_46F3F2A6FE,MEA_CASE_8F94438FD6,触发,TRIGGERS,016_货车车厢尾门未锁掉落塑料空桶事故_2edeb266,货车车厢尾门未锁掉落塑料空桶事故,因后尾门插销未锁紧,0.6200,案例抽取导入
EVT_CASE_46F3F2A6FE,EVT_CASE_F4B6AB6F10,引发,CAUSES,016_货车车厢尾门未锁掉落塑料空桶事故_2edeb266,货车车厢尾门未锁掉落塑料空桶事故,无人员伤亡和车辆受损。塑料空桶重量极轻，对过往车辆不构成致命碰撞威胁，但导致后方车辆按喇叭减速避让。,0.6000,案例抽取导入
MEA_CASE_98EAFFD8DB,RES_CASE_8D45F081F4,调用,REQUIRES,017_农用三轮车陷入泥坑阻碍单向通行事故_aaf41d26,农用三轮车陷入泥坑阻碍单向通行事故,将三轮车成功推出泥坑,0.6200,案例抽取导入
EVT_ROAD_BLOCKAGE,MEA_CASE_98EAFFD8DB,触发,TRIGGERS,017_农用三轮车陷入泥坑阻碍单向通行事故_aaf41d26,农用三轮车陷入泥坑阻碍单向通行事故,将三轮车成功推出泥坑,0.6200,案例抽取导入
MEA_CASE_DDCBEE7C3A,ORG_CASE_DFE92BD53C,实施主体,IMPLEMENTED_BY,018_旅游大巴车景区停车场倒车碰树事故_c0299ac6,旅游大巴车景区停车场倒车碰树事故,驾驶员倒车未注意观察盲区,0.6200,案例抽取导入
EVT_CASE_A950E1F9BF,MEA_CASE_DDCBEE7C3A,触发,TRIGGERS,018_旅游大巴车景区停车场倒车碰树事故_c0299ac6,旅游大巴车景区停车场倒车碰树事故,驾驶员倒车未注意观察盲区,0.6200,案例抽取导入
EVT_CASE_DE340ABF0A,EVT_CASE_83B85C87D6,引发,CAUSES,019_夜间路灯故障路段压坑爆胎单方事故_4bd61221,夜间路灯故障路段压坑爆胎单方事故,未能避开路面上的一个较深的小坑洼，右前轮重重压过导致轮胎瞬间爆胎。,0.9000,案例抽取导入
EVT_CASE_83B85C87D6,MEA_CASE_1A0150D454,触发,TRIGGERS,019_夜间路灯故障路段压坑爆胎单方事故_4bd61221,夜间路灯故障路段压坑爆胎单方事故,轮胎瞬间爆胎。,0.8000,案例抽取导入
EVT_CASE_83B85C87D6,MEA_CASE_53800BA548,触发,TRIGGERS,019_夜间路灯故障路段压坑爆胎单方事故_4bd61221,夜间路灯故障路段压坑爆胎单方事故,轮胎报废,0.7000,案例抽取导入
