id:ID,name,entity_type_cn,:LABEL
EVT_CASE_04E49A0DEE,瓷砖散落,突发事件,PlanEntity;Event
RES_CASE_8AE47E20B6,电动自行车,应急资源,PlanEntity;Resource
MEA_CASE_CF67B7CA0F,闯红灯,措施,PlanEntity;Action
MEA_CASE_7880553438,封锁现场,措施,PlanEntity;Action
MEA_CASE_96C3E54EF1,疏散群众,措施,PlanEntity;Action
MEA_CASE_2216349A64,疏导交通,措施,PlanEntity;Action
MEA_CASE_C2D9BE1EAA,现场勘查,措施,PlanEntity;Action
MEA_CASE_3BEB23D29A,责任认定,措施,PlanEntity;Action
MEA_CASE_BFD0731CF4,紧急止血,措施,PlanEntity;Action
MEA_CASE_D3FB3C9BCF,包扎,措施,PlanEntity;Action
MEA_CASE_4B758383A5,转运至医院,措施,PlanEntity;Action
EVT_CASE_7ABA9AF1E4,道路滑坡,突发事件,PlanEntity;Event
EVT_CASE_69E1689420,滑坡,突发事件,PlanEntity;Event
EVT_CASE_09C02D083D,车辆起火,突发事件,PlanEntity;Event
RES_CASE_752564BE64,液态氨,应急资源,PlanEntity;Resource
RES_CASE_E88979D653,私家车,应急资源,PlanEntity;Resource
MEA_CASE_6BA428A393,正面碰撞,措施,PlanEntity;Action
MEA_CASE_39D13A1B81,堵漏,措施,PlanEntity;Action
MEA_CASE_00EC36C353,稀释,措施,PlanEntity;Action
MEA_CASE_F9A9A6FAD1,转运,措施,PlanEntity;Action
MEA_CASE_6933DFD8F9,事故调查,措施,PlanEntity;Action
EVT_CASE_2694273A46,多车追尾,突发事件,PlanEntity;Event
MEA_CASE_72BE7C7A01,急刹车,措施,PlanEntity;Action
EVT_CASE_5DC52E598D,油路泄漏,突发事件,PlanEntity;Event
EVT_CASE_CEA9425D82,车辆碰撞行人,突发事件,PlanEntity;Event
MEA_CASE_6B219E66DE,碰撞,措施,PlanEntity;Action
MEA_CASE_80354268E0,刹车失灵,措施,PlanEntity;Action
ORG_CASE_D67BC1DFF4,应急管理部门,部门,PlanEntity;Department
ORG_CASE_CECFFFD120,消防救援队伍,部门,PlanEntity;Department
ORG_CASE_6C7E894368,施工队伍,部门,PlanEntity;Department
MEA_CASE_29AB47FA07,启动应急预案,措施,PlanEntity;Action
