entity_id,entity_name,entity_type,alias,alias_type,source
EVT_METEO_ROAD,公路气象灾害,Event,道路滑坡,scene_expression,案例抽取自动补充:003_山区公路滑坡阻断交通事故_63a86176
EVT_ROAD_DAMAGE,公路损毁,Event,道路滑坡,scene_expression,案例抽取自动补充:003_山区公路滑坡阻断交通事故_63a86176
EVT_ROAD_BLOCKAGE,公路阻塞,Event,道路滑坡,scene_expression,案例抽取自动补充:003_山区公路滑坡阻断交通事故_63a86176
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆起火,scene_expression,案例抽取自动补充:004_高速服务区车辆起火事故_dac6bbf7
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,危险化学品泄漏事故,scene_expression,案例抽取自动补充:005_危化品运输车与私家车碰撞泄漏事故_9a2ba735
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,车辆碰撞行人,scene_expression,案例抽取自动补充:007_乡村道路拖拉机与行人碰撞事故_7fd0535a
EVT_LONG_TUNNEL_ACCIDENT,特长隧道安全事故,Event,车辆起火,scene_expression,案例抽取自动补充:008_隧道内车辆起火浓烟封堵事故_2ff59dd3
EVT_ROAD_DAMAGE,公路损毁,Event,道路塌陷,scene_expression,案例抽取自动补充:009_暴雨引发道路塌陷交通事故_f50e7896
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,柴油泄漏,scene_expression,案例抽取自动补充:010_高速货车与护栏碰撞燃油泄漏事故_ae8b8317
EVT_TRAFFIC_ACCIDENT,交通事故,Event,闯红灯交通事故,scene_expression,案例抽取自动补充:011_城市路口货车闯红灯撞人事故_bb08dee8
EVT_ROAD_INTERRUPTION,公路中断,Event,客车坠崖,scene_expression,案例抽取自动补充:012_山区公路客车坠崖事故_8922caf2
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,危化品罐体爆炸,scene_expression,案例抽取自动补充:014_高速危化品车罐体爆炸事故_f7b8552f
EVT_ROAD_INTERRUPTION,公路中断,Event,车辆碰撞行人,scene_expression,案例抽取自动补充:015_城市小区门口车辆碰撞儿童事故_50ca750e
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆碰撞行人,scene_expression,案例抽取自动补充:015_城市小区门口车辆碰撞儿童事故_50ca750e
EVT_CONSTRUCTION_SAFETY,施工安全事故,Event,桥梁车辆坠落,scene_expression,案例抽取自动补充:016_桥梁施工坠落事故_fac4dd46
EVT_MAJOR_BRIDGE_ACCIDENT,特大桥梁安全事故,Event,桥梁车辆坠落,scene_expression,案例抽取自动补充:016_桥梁施工坠落事故_fac4dd46
EVT_TRAFFIC_ACCIDENT,交通事故,Event,桥梁车辆坠落,scene_expression,案例抽取自动补充:016_桥梁施工坠落事故_fac4dd46
EVT_TRAFFIC_ACCIDENT,交通事故,Event,加油站火灾,scene_expression,案例抽取自动补充:018_高速服务区加油站起火事故_b0ce6eb0
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆抛锚,scene_expression,案例抽取自动补充:019_城市快速路车辆抛锚引发拥堵事故_1458401e
EVT_PASSENGER_STRANDING,旅客滞留,Event,车辆抛锚,scene_expression,案例抽取自动补充:019_城市快速路车辆抛锚引发拥堵事故_1458401e
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆抛锚,scene_expression,案例抽取自动补充:019_城市快速路车辆抛锚引发拥堵事故_1458401e
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,落石砸车,scene_expression,案例抽取自动补充:021_山区公路落石砸伤车辆事故_d001ab7c
EVT_ROAD_DAMAGE,公路损毁,Event,落石砸车,scene_expression,案例抽取自动补充:021_山区公路落石砸伤车辆事故_d001ab7c
EVT_ROAD_INTERRUPTION,公路中断,Event,多车追尾引发火灾,scene_expression,案例抽取自动补充:022_高速多车追尾引发大火事故_161260cb
EVT_VEHICLE_BACKLOG,车辆积压,Event,多车追尾引发火灾,scene_expression,案例抽取自动补充:022_高速多车追尾引发大火事故_161260cb
EVT_VEHICLE_BACKLOG,车辆积压,Event,电动自行车碰撞行人,scene_expression,案例抽取自动补充:023_城市路口电动车逆行碰撞行人事故_202885c9
EVT_ROAD_INTERRUPTION,公路中断,Event,校车与货车碰撞,scene_expression,案例抽取自动补充:024_乡村道路校车与货车碰撞事故_056bd8b5
EVT_TRAFFIC_ACCIDENT,交通事故,Event,施工车辆碰撞行人,scene_expression,案例抽取自动补充:029_城市主干道施工车辆碰撞行人事故_b9b4272c
EVT_CONSTRUCTION_SAFETY,施工安全事故,Event,施工车辆碰撞行人,scene_expression,案例抽取自动补充:029_城市主干道施工车辆碰撞行人事故_b9b4272c
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,山体滑坡,scene_expression,案例抽取自动补充:033_暴雨引发山体滑坡掩埋车辆事故_85efeb44
EVT_ROAD_INTERRUPTION,公路中断,Event,山体滑坡,scene_expression,案例抽取自动补充:033_暴雨引发山体滑坡掩埋车辆事故_85efeb44
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆碰撞,scene_expression,案例抽取自动补充:035_城市小区内车辆碰撞事故_6b5adc75
EVT_PRODUCTION_ACCIDENT,公路交通运输生产事故,Event,桥梁车辆坠江,scene_expression,案例抽取自动补充:036_桥梁护栏破损车辆坠江事故_d6e9c6ca
EVT_ROAD_DAMAGE,公路损毁,Event,桥梁车辆坠江,scene_expression,案例抽取自动补充:036_桥梁护栏破损车辆坠江事故_d6e9c6ca
EVT_TRAFFIC_ACCIDENT,交通事故,Event,桥梁车辆坠江,scene_expression,案例抽取自动补充:036_桥梁护栏破损车辆坠江事故_d6e9c6ca
EVT_ROAD_ICE,道路积冰,Event,车辆侧滑,scene_expression,案例抽取自动补充:037_冰雪路面高速多车连环追尾事故_5979c3c4
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆侧滑,scene_expression,案例抽取自动补充:037_冰雪路面高速多车连环追尾事故_5979c3c4
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆侧滑,scene_expression,案例抽取自动补充:037_冰雪路面高速多车连环追尾事故_5979c3c4
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,危化品运输车辆与火车碰撞,scene_expression,案例抽取自动补充:038_危化品运输车与火车碰撞事故_98cb0816
