case_id,case_title,entity_temp_id,entity_name,entity_type,resolution_type,final_entity_id,final_entity_name,is_new_entity,primary_event_id,primary_event_name,expanded_event_ids,expanded_event_names,alias_patch_target_ids,alias_patch_target_names,import_eligible,import_skip_reason,evidence,confidence
001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,TMP_EVEN_1B9DE19064,追尾事故,Event,new_event_with_expansions,EVT_CASE_4D219D5D07,追尾事故,true,EVT_CASE_4D219D5D07,追尾事故,EVT_TRAFFIC_ACCIDENT|EVT_VEHICLE_BACKLOG,交通事故|车辆积压,EVT_TRAFFIC_ACCIDENT|EVT_VEHICLE_BACKLOG,交通事故|车辆积压,true,,京港澳高速漯河段K896公里处，因突发团雾导致能见度不足50米，一辆重型半挂牵引车与前方3辆小型轿车、2辆轻型货车发生连环追尾,0.9000
001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,TMP_EVEN_5411CD489A,团雾,Event,new_event,EVT_CASE_B9F7125E79,团雾,true,EVT_CASE_B9F7125E79,团雾,,,,,true,,因突发团雾导致能见度不足50米,0.8000
001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,TMP_EVEN_CD3E5951BE,交通中断,Event,new_event,EVT_CASE_436A2F6617,交通中断,true,EVT_CASE_436A2F6617,交通中断,,,,,true,,事故路段双向交通完全中断,0.8000
001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,TMP_EVEN_7F1A7FDC3B,车辆滞留,Event,new_event,EVT_CASE_3B6CFC25B4,车辆滞留,true,EVT_CASE_3B6CFC25B4,车辆滞留,,,,,true,,后方车辆滞留约8公里,0.7000
001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,TMP_EVEN_C874B71CE7,车辆起火,Event,new_event,EVT_CASE_09C02D083D,车辆起火,true,EVT_CASE_09C02D083D,车辆起火,,,,,true,,部分车辆因碰撞发生轻微起火,0.7000
002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,TMP_EVEN_03AE7FF47D,危化品泄漏,Event,alias_match_with_expansions,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,false,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,EVT_HAZMAT_ACCIDENT|EVT_TRAFFIC_ACCIDENT,危险货物运输事故|交通事故,,,true,,导致危化品运输车罐体破损，柴油持续泄漏，隧道内弥漫大量可燃蒸汽,0.9000
002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,TMP_ACTI_0976DFAFB8,追尾,Action,new_entity,MEA_CASE_641D68DEBE,追尾,true,,,,,,,true,,一辆装载30吨柴油的罐式危化品运输车，与前方一辆私家车发生追尾,0.8500
002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,TMP_RESO_D68C97B408,柴油,Resource,existing_id_invalid_relinked,RES_CASE_05C13962FE,柴油,true,,,,,,,true,,一辆装载30吨柴油的罐式危化品运输车,0.9000
003_山区公路桥梁坍塌事故_55111111,山区公路桥梁坍塌事故,TMP_EVEN_853591047E,桥梁坍塌,Event,alias_match_with_expansions,EVT_MAJOR_BRIDGE_ACCIDENT,特大桥梁安全事故,false,EVT_MAJOR_BRIDGE_ACCIDENT,特大桥梁安全事故,EVT_ROAD_EMERGENCY|EVT_PRODUCTION_ACCIDENT|EVT_ROAD_DAMAGE,公路交通突发事件|公路交通运输生产事故|公路损毁,,,true,,某山区二级公路跨河桥梁，因连续强降雨导致桥梁基础冲刷受损，一辆中型客车（载有18名乘客）行驶至桥梁中段时，桥梁突然发生部分坍塌，客车半个车身悬空，另有2辆小型轿车被困桥梁两端,0.9800
003_山区公路桥梁坍塌事故_55111111,山区公路桥梁坍塌事故,TMP_EVEN_80D103F760,强降雨,Event,new_event,EVT_CASE_750A0C32A1,强降雨,true,EVT_CASE_750A0C32A1,强降雨,,,,,true,,因连续强降雨,0.9500
