:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
EVT_CASE_B9F7125E79,EVT_CASE_4D219D5D07,引发,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,因突发团雾导致能见度不足50米，一辆重型半挂牵引车与前方3辆小型轿车、2辆轻型货车发生连环追尾,0.9500,案例抽取导入
EVT_CASE_4D219D5D07,EVT_CASE_436A2F6617,引发,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,事故路段双向交通完全中断,0.8500,案例抽取导入
EVT_CASE_4D219D5D07,EVT_CASE_3B6CFC25B4,引发,CAUSES,001_京港澳高速漯河段多车连环追尾事故_e0fe5421,京港澳高速漯河段多车连环追尾事故,后方车辆滞留约8公里,0.8000,案例抽取导入
MEA_CASE_641D68DEBE,RES_CASE_05C13962FE,调用,REQUIRES,002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,一辆装载30吨柴油的罐式危化品运输车，与前方一辆私家车发生追尾,0.6200,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_641D68DEBE,触发,TRIGGERS,002_城市隧道内危化品车追尾泄漏事故_1606f9a2,城市隧道内危化品车追尾泄漏事故,一辆装载30吨柴油的罐式危化品运输车，与前方一辆私家车发生追尾,0.6200,案例抽取导入
EVT_CASE_750A0C32A1,EVT_MAJOR_BRIDGE_ACCIDENT,引发,CAUSES,003_山区公路桥梁坍塌事故_55111111,山区公路桥梁坍塌事故,因连续强降雨导致桥梁基础冲刷受损，一辆中型客车（载有18名乘客）行驶至桥梁中段时，桥梁突然发生部分坍塌,0.9500,案例抽取导入
EVT_MAJOR_BRIDGE_ACCIDENT,MEA_CASE_F2C178773D,触发,TRIGGERS,003_山区公路桥梁坍塌事故_55111111,山区公路桥梁坍塌事故,后续交通部门调用大型设备对坍塌桥梁进行清理,0.7000,案例抽取导入
EVT_RAINSTORM,EVT_METEO_ROAD,引发,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,因突发特大暴雨（1小时降雨量达80毫米），导致道路严重积水,0.9500,案例抽取导入
EVT_METEO_ROAD,EVT_CASE_76C2F46F5E,引发,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,一辆小型轿车不慎驶入积水路段后熄火，车内2人被困,0.9000,案例抽取导入
EVT_METEO_ROAD,EVT_CASE_987220FC67,引发,CAUSES,004_暴雨天气城市道路积水交通事故_2e78a65f,暴雨天气城市道路积水交通事故,另有3辆车辆在积水区域抛锚,0.8500,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_3FC63D4C10,触发,TRIGGERS,005_高速公路危化品车起火爆燃事故_13d4651b,高速公路危化品车起火爆燃事故,因轮胎爆裂失控,0.6200,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_0A481121C2,触发,TRIGGERS,005_高速公路危化品车起火爆燃事故_13d4651b,高速公路危化品车起火爆燃事故,失控撞击护栏,0.6200,案例抽取导入
EVT_HAZMAT_LEAK,EVT_CASE_08CBE00F4D,引发,CAUSES,005_高速公路危化品车起火爆燃事故_13d4651b,高速公路危化品车起火爆燃事故,造成危化品运输车驾驶员1人死亡，3辆周边车辆被烧毁，5人不同程度烧伤，事故路段双向交通全面封闭，后方车辆滞留约12公里，爆燃产生的有毒有害气体对周边空气质量造成影响，存在二次爆燃和火势蔓延至高速公路两侧绿化带的风险。,0.6000,案例抽取导入
EVT_ENVIRONMENT,MEA_CASE_0B78E0C051,触发,TRIGGERS,006_乡村道路货车侧翻伤人事故_739eb5da,乡村道路货车侧翻伤人事故,因驾驶员超速行驶,0.6200,案例抽取导入
EVT_CASE_2C5A382799,EVT_MAJOR_BRIDGE_ACCIDENT,引发,CAUSES,007_高架道路车辆冲撞护栏坠桥事故_47596a34,高架道路车辆冲撞护栏坠桥事故,护栏被撞断后，越野车从高架道路坠落至地面,0.8500,案例抽取导入
EVT_CASE_51C41B32E7,EVT_CASE_436A2F6617,引发,CAUSES,008_冰雪天气高速公路车辆侧滑碰撞事故_35ff869e,冰雪天气高速公路车辆侧滑碰撞事故,造成客车内5人受伤、货车驾驶员1人重伤，32名乘客全部被困，事故路段双向交通中断,0.9000,案例抽取导入
EVT_CASE_C942A70A78,EVT_CASE_51C41B32E7,引发,CAUSES,008_冰雪天气高速公路车辆侧滑碰撞事故_35ff869e,冰雪天气高速公路车辆侧滑碰撞事故,因夜间气温骤降（零下5℃），路面结冰湿滑，一辆大型客车（载有32名乘客）行驶中发生侧滑,0.9500,案例抽取导入
MEA_CASE_C8E4DC71F6,RES_CASE_F1D0288F3D,调用,REQUIRES,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,一辆装载液态危化品（氢氧化钠溶液）的罐式运输车，在转弯时因车速过快、重心不稳发生倾覆,0.6200,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_C8E4DC71F6,触发,TRIGGERS,009_港口道路危化品运输车倾覆泄漏事故_ace2077d,港口道路危化品运输车倾覆泄漏事故,一辆装载液态危化品（氢氧化钠溶液）的罐式运输车，在转弯时因车速过快、重心不稳发生倾覆,0.6200,案例抽取导入
