id:ID,name,entity_type_cn,:LABEL
EVT_CASE_4D219D5D07,追尾事故,突发事件,PlanEntity;Event
EVT_CASE_B9F7125E79,团雾,突发事件,PlanEntity;Event
EVT_CASE_436A2F6617,交通中断,突发事件,PlanEntity;Event
EVT_CASE_3B6CFC25B4,车辆滞留,突发事件,PlanEntity;Event
MEA_CASE_641D68DEBE,追尾,措施,PlanEntity;Action
RES_CASE_05C13962FE,柴油,应急资源,PlanEntity;Resource
EVT_CASE_750A0C32A1,强降雨,突发事件,PlanEntity;Event
MEA_CASE_F2C178773D,清理,措施,PlanEntity;Action
EVT_CASE_76C2F46F5E,车辆被困,突发事件,PlanEntity;Event
EVT_CASE_987220FC67,车辆抛锚,突发事件,PlanEntity;Event
MEA_CASE_3FC63D4C10,轮胎爆裂,措施,PlanEntity;Action
MEA_CASE_0A481121C2,失控撞击护栏,措施,PlanEntity;Action
EVT_CASE_08CBE00F4D,乙醇泄漏,突发事件,PlanEntity;Event
MEA_CASE_0B78E0C051,超速行驶,措施,PlanEntity;Action
EVT_CASE_2C5A382799,护栏破损,突发事件,PlanEntity;Event
EVT_CASE_51C41B32E7,车辆侧滑碰撞,突发事件,PlanEntity;Event
EVT_CASE_C942A70A78,路面结冰,突发事件,PlanEntity;Event
MEA_CASE_C8E4DC71F6,车辆倾覆,措施,PlanEntity;Action
RES_CASE_F1D0288F3D,氢氧化钠溶液,应急资源,PlanEntity;Resource
