entity_id,entity_name,entity_type,alias,alias_type,source
EVT_HAZMAT_ACCIDENT,危险货物运输事故,Event,危化品运输车辆与火车碰撞,scene_expression,案例抽取自动补充:001_铁路道口危化品运输车与火车碰撞事故_b56d81db
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆侧翻,scene_expression,案例抽取自动补充:002_城市高架匝道货车侧翻货物散落事故_dc8ba489
EVT_TRAFFIC_ACCIDENT,交通事故,Event,渡船碰撞,scene_expression,案例抽取自动补充:003_乡村渡口车辆渡船碰撞事故_a7269e2d
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,车辆追尾,scene_expression,案例抽取自动补充:004_高速收费站车辆追尾引发火灾事故_1f1f3d01
EVT_VEHICLE_BACKLOG,车辆积压,Event,车辆追尾,scene_expression,案例抽取自动补充:004_高速收费站车辆追尾引发火灾事故_1f1f3d01
EVT_TRAFFIC_ACCIDENT,交通事故,Event,车辆追尾,scene_expression,案例抽取自动补充:004_高速收费站车辆追尾引发火灾事故_1f1f3d01
EVT_LONG_TUNNEL_ACCIDENT,特长隧道安全事故,Event,车辆碰撞起火,scene_expression,案例抽取自动补充:005_城市地下车库车辆碰撞起火事故_4670e54d
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,隧道追尾事故,scene_expression,案例抽取自动补充:006_山区隧道群连环追尾事故_2368489c
EVT_METEO_ROAD,公路气象灾害,Event,隧道追尾事故,scene_expression,案例抽取自动补充:006_山区隧道群连环追尾事故_2368489c
EVT_ROAD_DAMAGE,公路损毁,Event,桥梁冲毁,scene_expression,案例抽取自动补充:008_暴雨乡村桥梁冲毁交通事故_3bc5860c
EVT_CONSTRUCTION_ACCIDENT,公路工程建设事故,Event,落石,scene_expression,案例抽取自动补充:011_山区公路落石阻断救援通道事故_9e199752
EVT_ROAD_INTERRUPTION,公路中断,Event,拖拉机与电动三轮车碰撞,scene_expression,案例抽取自动补充:014_乡村田间道路拖拉机碰撞事故_649b4404
EVT_ROAD_INTERRUPTION,公路中断,Event,车辆侧滑,scene_expression,案例抽取自动补充:017_山区公路雾凇路段车辆侧滑事故_f1b5cc26
EVT_VEHICLE_BACKLOG,车辆积压,Event,多车追尾,scene_expression,案例抽取自动补充:025_城市快速路多车追尾事故_91cf4a2e
EVT_ROAD_INTERRUPTION,公路中断,Event,多车追尾,scene_expression,案例抽取自动补充:025_城市快速路多车追尾事故_91cf4a2e
EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,Event,危化品车罐体爆炸,scene_expression,案例抽取自动补充:033_高速危化品车罐体爆炸事故_f7b8552f
EVT_ROAD_INTERRUPTION,公路中断,Event,高速追尾事故,scene_expression,案例抽取自动补充:041_高速多车追尾引发大火事故_161260cb
EVT_VEHICLE_BACKLOG,车辆积压,Event,高速追尾事故,scene_expression,案例抽取自动补充:041_高速多车追尾引发大火事故_161260cb
EVT_LONG_TUNNEL_ACCIDENT,特长隧道安全事故,Event,高速追尾事故,scene_expression,案例抽取自动补充:041_高速多车追尾引发大火事故_161260cb
EVT_ROAD_INTERRUPTION,公路中断,Event,电动自行车碰撞行人,scene_expression,案例抽取自动补充:042_城市路口电动车逆行碰撞行人事故_202885c9
EVT_ROAD_EMERGENCY,公路交通突发事件,Event,电动自行车碰撞行人,scene_expression,案例抽取自动补充:042_城市路口电动车逆行碰撞行人事故_202885c9
EVT_TRAFFIC_ACCIDENT,交通事故,Event,电动自行车碰撞行人,scene_expression,案例抽取自动补充:042_城市路口电动车逆行碰撞行人事故_202885c9
EVT_TRAFFIC_ACCIDENT,交通事故,Event,校车与货车碰撞,scene_expression,案例抽取自动补充:043_乡村道路校车与货车碰撞事故_056bd8b5
EVT_PRODUCTION_ACCIDENT,公路交通运输生产事故,Event,桥梁车辆坠落事故,scene_expression,案例抽取自动补充:055_桥梁护栏破损车辆坠江事故_d6e9c6ca
EVT_ROAD_DAMAGE,公路损毁,Event,桥梁车辆坠落事故,scene_expression,案例抽取自动补充:055_桥梁护栏破损车辆坠江事故_d6e9c6ca
EVT_TRAFFIC_ACCIDENT,交通事故,Event,桥梁车辆坠落事故,scene_expression,案例抽取自动补充:055_桥梁护栏破损车辆坠江事故_d6e9c6ca
EVT_VEHICLE_BACKLOG,车辆积压,Event,追尾碰撞,scene_expression,案例抽取自动补充:060_城市快速路夜间事故_0fd6ca79
