case_id,case_title,entity_temp_id,entity_name,entity_type,resolution_type,final_entity_id,final_entity_name,is_new_entity,primary_event_id,primary_event_name,expanded_event_ids,expanded_event_names,alias_patch_target_ids,alias_patch_target_names,import_eligible,import_skip_reason,evidence,confidence
001_铁路道口危化品运输车与火车碰撞事故_b56d81db,铁路道口危化品运输车与火车碰撞事故,TMP_EVEN_FC1F4AB40B,危化品运输车辆与火车碰撞,Event,alias_match_with_expansions,EVT_HAZMAT_ACCIDENT,危险货物运输事故,false,EVT_HAZMAT_ACCIDENT,危险货物运输事故,EVT_ROAD_INTERRUPTION|EVT_TRAFFIC_ACCIDENT|EVT_HAZMAT_LEAK,公路中断|交通事故|危险化学品运输泄漏事件,EVT_HAZMAT_ACCIDENT,危险货物运输事故,true,,某县道铁路平交道口，一辆装载液化天然气的罐式危化品运输车，在道口信号灯变红时未停车避让，与正常行驶的货运火车发生正面碰撞,0.9000
001_铁路道口危化品运输车与火车碰撞事故_b56d81db,铁路道口危化品运输车与火车碰撞事故,TMP_EVEN_70D4B09976,危化品泄漏,Event,new_event,EVT_CASE_FF7FD44A64,危化品泄漏,true,EVT_CASE_FF7FD44A64,危化品泄漏,,,,,true,,危化品罐体出现裂缝，天然气少量泄漏,0.9000
002_城市高架匝道货车侧翻货物散落事故_dc8ba489,城市高架匝道货车侧翻货物散落事故,TMP_EVEN_E298168B17,车辆侧翻,Event,new_event_with_expansions,EVT_CASE_9CC62EF2EB,车辆侧翻,true,EVT_CASE_9CC62EF2EB,车辆侧翻,EVT_VEHICLE_BACKLOG|EVT_ROAD_INTERRUPTION|EVT_TRAFFIC_ACCIDENT,车辆积压|公路中断|交通事故,EVT_VEHICLE_BACKLOG|EVT_ROAD_INTERRUPTION|EVT_TRAFFIC_ACCIDENT,车辆积压|公路中断|交通事故,true,,一辆重型货车超载运输建材，在匝道转弯处因车速过快、重心偏移发生侧翻,0.9000
002_城市高架匝道货车侧翻货物散落事故_dc8ba489,城市高架匝道货车侧翻货物散落事故,TMP_ACTI_3E5061FBE2,超载,Action,existing_match,MEA_CASE_A048795819,超载,false,,,,,,,true,,一辆重型货车超载运输建材,0.8000
002_城市高架匝道货车侧翻货物散落事故_dc8ba489,城市高架匝道货车侧翻货物散落事故,TMP_EVEN_62B5CFB50C,车辆滞留,Event,alias_match,EVT_VEHICLE_BACKLOG,车辆积压,false,EVT_VEHICLE_BACKLOG,车辆积压,,,,,true,,后方车辆滞留约4公里,0.8000
002_城市高架匝道货车侧翻货物散落事故_dc8ba489,城市高架匝道货车侧翻货物散落事故,TMP_EVEN_D9BE32377D,匝道交通中断,Event,new_event,EVT_CASE_BE91B84AF9,匝道交通中断,true,EVT_CASE_BE91B84AF9,匝道交通中断,,,,,true,,匝道双向交通完全中断,0.8000
003_乡村渡口车辆渡船碰撞事故_a7269e2d,乡村渡口车辆渡船碰撞事故,TMP_EVEN_C3825CE0B5,渡船碰撞,Event,new_event_with_expansions,EVT_CASE_AD42D6EE60,渡船碰撞,true,EVT_CASE_AD42D6EE60,渡船碰撞,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_TRAFFIC_ACCIDENT,交通事故,true,,渡船行驶至河中央时，因驾驶员操作不当，渡船与停靠在渡口的另一艘渡船发生碰撞，渡船船体破损，小型货车不慎落水,0.9000
003_乡村渡口车辆渡船碰撞事故_a7269e2d,乡村渡口车辆渡船碰撞事故,TMP_ACTI_2A6795CA11,事故调查,Action,existing_match,MEA_CASE_6933DFD8F9,事故调查,false,,,,,,,true,,依据《内河交通安全管理条例》开展事故调查,0.7000
004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,TMP_EVEN_49B78E1305,车辆追尾,Event,new_event_with_expansions,EVT_CASE_7E4A45E8A0,车辆追尾,true,EVT_CASE_7E4A45E8A0,车辆追尾,EVT_HAZMAT_LEAK|EVT_VEHICLE_BACKLOG|EVT_TRAFFIC_ACCIDENT,危险化学品运输泄漏事件|车辆积压|交通事故,EVT_HAZMAT_LEAK|EVT_VEHICLE_BACKLOG|EVT_TRAFFIC_ACCIDENT,危险化学品运输泄漏事件|车辆积压|交通事故,true,,一辆小型轿车因跟车过近，与前方一辆重型半挂牵引车发生追尾,0.9000
004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,TMP_EVEN_2640E240E0,火灾,Event,new_event,EVT_CASE_091BB1089D,火灾,false,EVT_CASE_091BB1089D,火灾,,,,,true,,轿车车头撞击严重并起火,0.8500
004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,TMP_EVEN_5CFD6FF739,柴油泄漏,Event,alias_match,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,false,EVT_HAZMAT_LEAK,危险化学品运输泄漏事件,,,,,true,,牵引车油箱被撞破损，柴油泄漏,0.8000
004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,TMP_ACTI_D01CDCCF98,应急预案启动,Action,new_entity,MEA_CASE_93A78D3315,应急预案启动,true,,,,,,,true,,收费站工作人员立即启动应急预案,0.7000
004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,TMP_ACTI_855B9B4D6F,灭火,Action,new_entity,MEA_CASE_5330B223E5,灭火,true,,,,,,,true,,使用灭火器进行初期灭火，采用泡沫消防车压制火势,0.7500
004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,TMP_ACTI_7A52E4B342,疏散,Action,new_entity,MEA_CASE_1BCFC5476A,疏散,true,,,,,,,true,,疏散站内人员；交警部门封闭收费站入口车道，疏导后方车辆,0.7000
004_高速收费站车辆追尾引发火灾事故_1f1f3d01,高速收费站车辆追尾引发火灾事故,TMP_DEPA_603BBE1EC5,消防救援队伍,Department,existing_match,ORG_CASE_CECFFFD120,消防救援队伍,false,,,,,,,true,,消防救援队伍赶赴现场,0.8000
005_城市地下车库车辆碰撞起火事故_4670e54d,城市地下车库车辆碰撞起火事故,TMP_EVEN_5ECAE62F9C,车辆碰撞起火,Event,new_event_with_expansions,EVT_CASE_86B072C171,车辆碰撞起火,true,EVT_CASE_86B072C171,车辆碰撞起火,EVT_LONG_TUNNEL_ACCIDENT,特长隧道安全事故,EVT_LONG_TUNNEL_ACCIDENT,特长隧道安全事故,true,,一辆小型轿车在倒车入库时，与后方停放的一辆SUV发生碰撞，碰撞导致轿车电路短路引发起火，火势迅速蔓延至周边3辆车辆,0.9000
