case_id,case_title,object_type,object_name,object_role,risk_level,risk_reason,confidence,evidence,import_action
001_跨境口岸通关货车刹车失灵冲撞闸口事故_bc22335d,跨境口岸通关货车刹车失灵冲撞闸口事故,entity,刹车失灵,Action,MEDIUM,action_weak_semantics,0.8500,因长下坡刹车过热失灵,kept_with_risk
001_跨境口岸通关货车刹车失灵冲撞闸口事故_bc22335d,跨境口岸通关货车刹车失灵冲撞闸口事故,relation,车辆冲撞-TRIGGERS-刹车失灵,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,因长下坡刹车过热失灵,kept_with_risk
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,entity,自动驾驶测试企业,Department,MEDIUM,department_weak_semantics,0.9000,自动驾驶测试企业立即暂停所有道路测试,kept_with_risk
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,entity,封锁现场,Action,MEDIUM,action_weak_semantics,0.8000,交警部门立即封锁事故现场,kept_with_risk
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,entity,疏散群众,Action,MEDIUM,action_weak_semantics,0.8000,疏散围观群众,kept_with_risk
002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,entity,暂停测试,Action,MEDIUM,action_weak_semantics,0.8000,自动驾驶测试企业立即暂停所有道路测试,kept_with_risk
003_房车营地周边临水道路车辆坠湖事故_5d5046b2,房车营地周边临水道路车辆坠湖事故,entity,驾驶员对车身宽度判断失误,Action,MEDIUM,action_weak_semantics,0.8000,因驾驶员对车身宽度判断失误,kept_with_risk
003_房车营地周边临水道路车辆坠湖事故_5d5046b2,房车营地周边临水道路车辆坠湖事故,relation,车辆坠湖-TRIGGERS-驾驶员对车身宽度判断失误,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,因驾驶员对车身宽度判断失误,kept_with_risk
004_城市马拉松赛事管制路段社会车辆闯入事故_377921af,城市马拉松赛事管制路段社会车辆闯入事故,case,城市马拉松赛事管制路段社会车辆闯入事故,case,HIGH,case_empty_relations,0.8000,某市城市马拉松赛事举办期间，赛事全程路段实施交通管制，一辆小型私家车无视管制禁令、冲破隔离围挡，闯入马拉松赛事赛道，与正在奔跑的参赛选手发生碰撞，造成多名选手倒地，车辆紧急停下，赛事现场秩序混乱。,needs_reextract
006_矿山专用道路矿车刹车失灵冲撞事故_ebcf86b0,矿山专用道路矿车刹车失灵冲撞事故,entity,刹车失灵,Action,MEDIUM,action_weak_semantics,0.9000,因长下坡刹车系统故障失灵,kept_with_risk
007_机场滑行道社会车辆闯入逼停客机事故_1c26d5d8,机场滑行道社会车辆闯入逼停客机事故,entity,民航客机,Resource,MEDIUM,resource_weak_semantics,0.9000,民航客机,kept_with_risk
007_机场滑行道社会车辆闯入逼停客机事故_1c26d5d8,机场滑行道社会车辆闯入逼停客机事故,entity,紧急制动,Action,MEDIUM,action_weak_semantics,0.8500,紧急制动,kept_with_risk
008_共享单车批量转运车侧翻占道事故_2389421b,共享单车批量转运车侧翻占道事故,entity,重型转运货车,Resource,MEDIUM,resource_civilian_vehicle,0.8000,一辆满载共享电单车的重型转运货车,kept_with_risk
009_农村出殡队列占道引发多车追尾事故_631152b6,农村出殡队列占道引发多车追尾事故,entity,占道行驶,Action,MEDIUM,action_weak_semantics,0.8000,出殡队列在公路上低速占道行驶,kept_with_risk
009_农村出殡队列占道引发多车追尾事故_631152b6,农村出殡队列占道引发多车追尾事故,entity,违规停车,Action,MEDIUM,action_weak_semantics,0.8000,违规停车燃放鞭炮,kept_with_risk
009_农村出殡队列占道引发多车追尾事故_631152b6,农村出殡队列占道引发多车追尾事故,entity,违规燃放鞭炮,Action,MEDIUM,action_weak_semantics,0.8000,违规停车燃放鞭炮,kept_with_risk
009_农村出殡队列占道引发多车追尾事故_631152b6,农村出殡队列占道引发多车追尾事故,relation,占道行驶-REQUIRES-出殡队列,Action->Resource,MEDIUM,relation_fallback_inferred,0.6200,出殡队列在公路上低速占道行驶,kept_with_risk
009_农村出殡队列占道引发多车追尾事故_631152b6,农村出殡队列占道引发多车追尾事故,relation,追尾事故-TRIGGERS-占道行驶,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,出殡队列在公路上低速占道行驶,kept_with_risk
009_农村出殡队列占道引发多车追尾事故_631152b6,农村出殡队列占道引发多车追尾事故,relation,追尾事故-TRIGGERS-违规停车,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,违规停车燃放鞭炮,kept_with_risk
009_农村出殡队列占道引发多车追尾事故_631152b6,农村出殡队列占道引发多车追尾事故,relation,追尾事故-TRIGGERS-违规燃放鞭炮,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,违规停车燃放鞭炮,kept_with_risk
011_城市高架路高空作业车坠物砸车事故_f65b0fe9,城市高架路高空作业车坠物砸车事故,entity,暂停作业,Action,MEDIUM,action_weak_semantics,0.8000,施工单位立即暂停作业,kept_with_risk
012_跨海大桥强台风车辆连环失控事故_ad834cbb,跨海大桥强台风车辆连环失控事故,entity,大桥,Resource,MEDIUM,resource_weak_semantics,0.9000,某跨海大桥路段,kept_with_risk
012_跨海大桥强台风车辆连环失控事故_ad834cbb,跨海大桥强台风车辆连环失控事故,entity,桥梁检测专家,Department,MEDIUM,department_weak_semantics,0.8500,桥梁检测专家对大桥结构进行全面安全检测...,kept_with_risk
013_农村机耕路履带式收割机与电动三轮车碰撞事故_dc8e78a0,农村机耕路履带式收割机与电动三轮车碰撞事故,entity,电动三轮车,Resource,MEDIUM,resource_weak_semantics,0.9500,载人电动三轮车,kept_with_risk
013_农村机耕路履带式收割机与电动三轮车碰撞事故_dc8e78a0,农村机耕路履带式收割机与电动三轮车碰撞事故,entity,正面碰撞,Action,MEDIUM,action_weak_semantics,0.8500,发生正面碰撞,kept_with_risk
014_高速公路军车车队社会车辆强行加塞事故_47154708,高速公路军车车队社会车辆强行加塞事故,entity,强行加塞,Action,MEDIUM,action_weak_semantics,0.8500,一辆小型私家车无视车队警示标志，强行变道加塞进入车队,kept_with_risk
014_高速公路军车车队社会车辆强行加塞事故_47154708,高速公路军车车队社会车辆强行加塞事故,entity,私家车,Resource,MEDIUM,resource_civilian_vehicle,0.9000,一辆小型私家车,kept_with_risk
017_烟花爆竹运输车省道侧翻燃爆事故_ddec56f9,烟花爆竹运输车省道侧翻燃爆事故,entity,驾驶员操作不当,Action,MEDIUM,action_weak_semantics,0.8500,因驾驶员操作不当,kept_with_risk
017_烟花爆竹运输车省道侧翻燃爆事故_ddec56f9,烟花爆竹运输车省道侧翻燃爆事故,relation,烟花爆竹车辆侧翻燃爆-TRIGGERS-驾驶员操作不当,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,因驾驶员操作不当,kept_with_risk
017_烟花爆竹运输车省道侧翻燃爆事故_ddec56f9,烟花爆竹运输车省道侧翻燃爆事故,relation,烟花爆竹车辆侧翻燃爆-CAUSES-燃爆,Event->Event,MEDIUM,relation_fallback_inferred,0.6000,造成运输车驾驶员1人轻伤，车辆完全损毁，散落的烟花爆竹持续燃爆，省道双向交通完全中断，车辆滞留约8公里，燃爆产生的火星易引燃周边山林、村庄房屋，引发森林火灾、群众财产损失，存在二次燃爆的重大风险。,kept_with_risk
018_大学校园内部通勤车与学生碰撞事故_dabddc72,大学校园内部通勤车与学生碰撞事故,entity,驾驶员未观察路况,Action,MEDIUM,action_weak_semantics,0.8000,因驾驶员未观察前方路况,kept_with_risk
018_大学校园内部通勤车与学生碰撞事故_dabddc72,大学校园内部通勤车与学生碰撞事故,relation,车辆碰撞行人-TRIGGERS-驾驶员未观察路况,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,因驾驶员未观察前方路况,kept_with_risk
020_城市地下管廊施工路段路面塌陷吞车事故_7704f5c4,城市地下管廊施工路段路面塌陷吞车事故,entity,暂停施工,Action,MEDIUM,action_weak_semantics,0.7500,责令施工单位暂停施工,kept_with_risk
020_城市地下管廊施工路段路面塌陷吞车事故_7704f5c4,城市地下管廊施工路段路面塌陷吞车事故,relation,暂停施工-IMPLEMENTED_BY-施工单位,Action->Department,MEDIUM,relation_fallback_inferred,0.6200,责令施工单位暂停施工,kept_with_risk
020_城市地下管廊施工路段路面塌陷吞车事故_7704f5c4,城市地下管廊施工路段路面塌陷吞车事故,relation,路面塌陷-TRIGGERS-暂停施工,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,责令施工单位暂停施工,kept_with_risk
020_城市地下管廊施工路段路面塌陷吞车事故_7704f5c4,城市地下管廊施工路段路面塌陷吞车事故,relation,路面塌陷-TRIGGERS-实时监测,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,对周边路面、居民楼地基进行实时监测,kept_with_risk
020_城市地下管廊施工路段路面塌陷吞车事故_7704f5c4,城市地下管廊施工路段路面塌陷吞车事故,relation,路面塌陷-TRIGGERS-疏导,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,疏导过往车辆绕行,kept_with_risk
021_港口集装箱码头拖头车与堆垛碰撞事故_6456b2ee,港口集装箱码头拖头车与堆垛碰撞事故,entity,集装箱堆垛,Resource,MEDIUM,resource_weak_semantics,0.9000,码头集装箱堆垛,kept_with_risk
021_港口集装箱码头拖头车与堆垛碰撞事故_6456b2ee,港口集装箱码头拖头车与堆垛碰撞事故,entity,碰撞,Action,MEDIUM,action_weak_semantics,0.8500,与码头集装箱堆垛发生碰撞,kept_with_risk
