id:ID,name,entity_type_cn,:LABEL
EVT_CASE_B9F0C9D9AC,货车冲撞口岸,突发事件,PlanEntity;Event
ORG_CASE_D7C9B35C28,自动驾驶测试企业,部门,PlanEntity;Department
MEA_CASE_C5E66BF637,转运人员,措施,PlanEntity;Action
MEA_CASE_81A3AA00B6,暂停测试,措施,PlanEntity;Action
EVT_CASE_72972C0FC7,车辆坠湖,突发事件,PlanEntity;Event
MEA_CASE_F46EBF6CE5,驾驶员对车身宽度判断失误,措施,PlanEntity;Action
EVT_CASE_E70C4DE1FA,河水污染,突发事件,PlanEntity;Event
EVT_CASE_8B7F0B5FB2,车辆失控冲撞,突发事件,PlanEntity;Event
EVT_CASE_2FEC1FEE85,油箱破损漏油,突发事件,PlanEntity;Event
RES_CASE_7C467D3150,民航客机,应急资源,PlanEntity;Resource
RES_CASE_DC7939F6B3,重型转运货车,应急资源,PlanEntity;Resource
ORG_CASE_F631DA228B,共享单车运营公司,部门,PlanEntity;Department
MEA_CASE_073BB06D8A,抬起,措施,PlanEntity;Action
MEA_CASE_B3F6D4450F,处置,措施,PlanEntity;Action
MEA_CASE_A01D41EE67,违规停车,措施,PlanEntity;Action
MEA_CASE_F02874E69E,违规燃放鞭炮,措施,PlanEntity;Action
RES_CASE_E9925C188F,出殡队列,应急资源,PlanEntity;Resource
ORG_CASE_4446250415,农业农村部门,部门,PlanEntity;Department
ORG_CASE_27677803C8,农机部门,部门,PlanEntity;Department
MEA_CASE_FC7FB5C70A,协调,措施,PlanEntity;Action
MEA_CASE_A5FA481155,暂停作业,措施,PlanEntity;Action
MEA_CASE_BE7D0AB4A8,清理工具配件,措施,PlanEntity;Action
MEA_CASE_F047B461DE,解救驾驶员,措施,PlanEntity;Action
MEA_CASE_D33E3DCCA0,修复路面设施,措施,PlanEntity;Action
EVT_CASE_1FBD75EDDD,强台风,突发事件,PlanEntity;Event
ORG_CASE_E2BC3C05B7,大桥管理部门,部门,PlanEntity;Department
ORG_CASE_963FA483D8,桥梁检测专家,部门,PlanEntity;Department
MEA_CASE_D569E11F2C,应急处置,措施,PlanEntity;Action
MEA_CASE_8161B1F0E8,封闭大桥,措施,PlanEntity;Action
MEA_CASE_F0668A0176,强行加塞,措施,PlanEntity;Action
EVT_CASE_9965519510,轨道交通车辆卡轨,突发事件,PlanEntity;Event
EVT_CASE_0133F15C01,轨道卡轨,突发事件,PlanEntity;Event
ORG_CASE_1FE1986898,冷链物流园应急管理部门,部门,PlanEntity;Department
ORG_CASE_EC88FB5BAD,市场监管部门,部门,PlanEntity;Department
MEA_CASE_BE0A2FD2E0,食品温度监测,措施,PlanEntity;Action
MEA_CASE_99E1D246E3,驾驶员操作不当,措施,PlanEntity;Action
EVT_CASE_1D0AC1FCC3,燃爆,突发事件,PlanEntity;Event
MEA_CASE_ABE67AF3B3,驾驶员未观察路况,措施,PlanEntity;Action
EVT_CASE_A2A5131304,沙漠失联被困,突发事件,PlanEntity;Event
MEA_CASE_543551F273,暂停施工,措施,PlanEntity;Action
MEA_CASE_BC06C34F18,实时监测,措施,PlanEntity;Action
EVT_CASE_CFB06DE8B6,集装箱坠落,突发事件,PlanEntity;Event
RES_CASE_1C22C7C05B,集装箱堆垛,应急资源,PlanEntity;Resource
RES_CASE_5EDA26CDE1,锂电池,应急资源,PlanEntity;Resource
RES_CASE_6447EBCAE2,制冷机组,应急资源,PlanEntity;Resource
ORG_CASE_DF699C3933,海关,部门,PlanEntity;Department
MEA_CASE_609511AD21,封存,措施,PlanEntity;Action
MEA_CASE_1F275761BC,暂停查验,措施,PlanEntity;Action
MEA_CASE_AD69EAB4DC,抽样检测,措施,PlanEntity;Action
MEA_CASE_AFAC44C329,无害化销毁,措施,PlanEntity;Action
MEA_CASE_E14F2F1AAA,全面检测,措施,PlanEntity;Action
MEA_CASE_EC6FC9AC85,冷链运输规范教育,措施,PlanEntity;Action
MEA_CASE_9DFDBB5D63,刹车系统故障,措施,PlanEntity;Action
MEA_CASE_B18F6DC654,封锁,措施,PlanEntity;Action
RES_CASE_ED2B7670D7,汽油,应急资源,PlanEntity;Resource
EVT_CASE_DC3A3BC3D2,燃气管道破损泄漏,突发事件,PlanEntity;Event
EVT_CASE_6E5B22465E,天然气泄漏,突发事件,PlanEntity;Event
EVT_CASE_9E8EF23981,追尾,突发事件,PlanEntity;Event
RES_CASE_3C97168640,重型集装箱货车,应急资源,PlanEntity;Resource
RES_CASE_FDDA177208,调车机车,应急资源,PlanEntity;Resource
EVT_CASE_B537D79A15,地震,突发事件,PlanEntity;Event
RES_CASE_AD62C909B2,疏散通道,应急资源,PlanEntity;Resource
ORG_CASE_75A791ED69,电站施工部门,部门,PlanEntity;Department
EVT_CASE_59EDD4A04E,施工机械坠河,突发事件,PlanEntity;Event
EVT_CASE_2AE6F9D00B,岸边土层坍塌,突发事件,PlanEntity;Event
EVT_CASE_A3BA40F26D,无人机坠落,突发事件,PlanEntity;Event
EVT_CASE_3862706509,车辆冲撞行人,突发事件,PlanEntity;Event
EVT_CASE_553BC7A8F7,婚宴,突发事件,PlanEntity;Event
RES_CASE_82206ABC9F,共享电单车,应急资源,PlanEntity;Resource
RES_CASE_B911CBD3B1,游览车,应急资源,PlanEntity;Resource
EVT_CASE_5C5AB0B1F3,车辆坠崖,突发事件,PlanEntity;Event
EVT_CASE_2688158F89,落石,突发事件,PlanEntity;Event
EVT_CASE_2256F1AD0E,环境污染,突发事件,PlanEntity;Event
RES_CASE_77D67F923B,生活垃圾,应急资源,PlanEntity;Resource
MEA_CASE_7F5CF3FCCD,车辆清理,措施,PlanEntity;Action
RES_CASE_B41366FD99,举升机,应急资源,PlanEntity;Resource
MEA_CASE_ACDA5E6CFE,维修作业,措施,PlanEntity;Action
RES_CASE_1AFD3C9750,插秧机,应急资源,PlanEntity;Resource
ORG_CASE_DDF9288564,航展组委会,部门,PlanEntity;Department
ORG_CASE_5AB89DB5D6,机场公安部门,部门,PlanEntity;Department
MEA_CASE_E91070364C,加固路段,措施,PlanEntity;Action
MEA_CASE_98BE43F4B1,刑事立案调查,措施,PlanEntity;Action
