source,source_temp_id,source_final_id,source_final_name,source_query_event_ids,relation,target,target_temp_id,target_final_id,target_final_name,target_query_event_ids,case_id,case_title,source_type,target_type,confidence,evidence,source_file,review_status
车辆冲撞,TMP_EVEN_9EF1F8D73F,EVT_CASE_B9F0C9D9AC,货车冲撞口岸,EVT_CASE_B9F0C9D9AC|EVT_ROAD_DAMAGE|EVT_ROAD_INTERRUPTION,TRIGGERS,刹车失灵,TMP_ACTI_1C0A3F70E5,MEA_CASE_80354268E0,刹车失灵,,001_跨境口岸通关货车刹车失灵冲撞闸口事故_bc22335d,跨境口岸通关货车刹车失灵冲撞闸口事故,Event,Action,0.6200,因长下坡刹车过热失灵,交通应急处理案例6.txt,AUTO_MEDIUM
现场勘查,TMP_ACTI_F657BE174B,MEA_CASE_C2D9BE1EAA,现场勘查,,REQUIRES,自动驾驶车辆,TMP_RESO_055BC3C497,RES_CASE_7BD2136F09,自动驾驶车辆,,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,Action,Resource,0.7000,开展现场勘查,交通应急处理案例6.txt,AUTO_MEDIUM
责任认定,TMP_ACTI_E0116EE443,MEA_CASE_3BEB23D29A,责任认定,,REQUIRES,自动驾驶车辆,TMP_RESO_055BC3C497,RES_CASE_7BD2136F09,自动驾驶车辆,,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,Action,Resource,0.7000,开展现场勘查和责任认定,交通应急处理案例6.txt,AUTO_MEDIUM
车辆坠湖,TMP_EVEN_2927C2F3E6,EVT_CASE_72972C0FC7,车辆坠湖,EVT_CASE_72972C0FC7|EVT_TRAFFIC_ACCIDENT,TRIGGERS,驾驶员对车身宽度判断失误,TMP_ACTI_47087927F4,MEA_CASE_F46EBF6CE5,驾驶员对车身宽度判断失误,,003_房车营地周边临水道路车辆坠湖事故_5d5046b2,房车营地周边临水道路车辆坠湖事故,Event,Action,0.6200,因驾驶员对车身宽度判断失误,交通应急处理案例6.txt,AUTO_MEDIUM
车辆闯入赛道,TMP_EVEN_A434D2AE2D,EVT_ROAD_EMERGENCY,公路交通突发事件,EVT_ROAD_EMERGENCY|EVT_TRAFFIC_ACCIDENT,CAUSES,马拉松赛事,TMP_EVEN_4F05A09B64,EVT_CASE_F873C3BEE1,马拉松赛事,EVT_CASE_F873C3BEE1,004_城市马拉松赛事管制路段社会车辆闯入事故_377921af,城市马拉松赛事管制路段社会车辆闯入事故,Event,Event,0.9000,车辆闯入马拉松赛事赛道，造成多名选手倒地，赛事赛道临时中断。,交通应急处理案例6.txt,AUTO_HIGH
桥梁车辆坠落事故,TMP_EVEN_48698DE564,EVT_CASE_7B95449186,桥梁车辆坠落事故,EVT_CASE_7B95449186|EVT_MAJOR_BRIDGE_ACCIDENT|EVT_ROAD_DAMAGE|EVT_TRAFFIC_ACCIDENT,CAUSES,道路中断,TMP_EVEN_F5F5BCFCA7,EVT_ROAD_INTERRUPTION,公路中断,EVT_ROAD_INTERRUPTION,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,Event,Event,0.9500,货车连同桥面一同坠入约8米深的河流中，浮桥双向通行完全中断,交通应急处理案例6.txt,AUTO_HIGH
桥梁车辆坠落事故,TMP_EVEN_48698DE564,EVT_CASE_7B95449186,桥梁车辆坠落事故,EVT_CASE_7B95449186|EVT_MAJOR_BRIDGE_ACCIDENT|EVT_ROAD_DAMAGE|EVT_TRAFFIC_ACCIDENT,CAUSES,河水污染,TMP_EVEN_5A07DA19EF,EVT_CASE_E70C4DE1FA,河水污染,EVT_CASE_E70C4DE1FA,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,Event,Event,0.7500,货车漏油可能造成河水污染,交通应急处理案例6.txt,AUTO_MEDIUM
车辆失控,TMP_EVEN_4710926E4C,EVT_CASE_42AEE3CEDE,车辆失控,EVT_CASE_42AEE3CEDE|EVT_TRAFFIC_ACCIDENT,CAUSES,车辆失控冲撞,TMP_EVEN_413939E443,EVT_CASE_8B7F0B5FB2,车辆失控冲撞,EVT_CASE_8B7F0B5FB2|EVT_ROAD_INTERRUPTION|EVT_PRODUCTION_ACCIDENT|EVT_ROAD_DAMAGE,006_矿山专用道路矿车刹车失灵冲撞事故_ebcf86b0,矿山专用道路矿车刹车失灵冲撞事故,Event,Event,0.9000,车辆失控高速冲向矿山选矿厂厂区,交通应急处理案例6.txt,AUTO_HIGH
油箱破损漏油,TMP_EVEN_63D5D88AE6,EVT_CASE_2FEC1FEE85,油箱破损漏油,EVT_CASE_2FEC1FEE85,TRIGGERS,刹车失灵,TMP_ACTI_B58443BAD2,MEA_CASE_80354268E0,刹车失灵,,006_矿山专用道路矿车刹车失灵冲撞事故_ebcf86b0,矿山专用道路矿车刹车失灵冲撞事故,Event,Action,0.6000,卡车油箱破损漏油，存在起火、爆炸的重大风险,交通应急处理案例6.txt,AUTO_MEDIUM
滑行道闯入事件,TMP_EVEN_A679E74BF8,EVT_HUB_INTERRUPTION,重要客运枢纽运行中断,EVT_HUB_INTERRUPTION|EVT_TRAFFIC_ACCIDENT,TRIGGERS,紧急制动,TMP_ACTI_99936629AA,MEA_CASE_34B2655045,紧急制动,,007_机场滑行道社会车辆闯入逼停客机事故_1c26d5d8,机场滑行道社会车辆闯入逼停客机事故,Event,Action,0.9000,正在滑行准备起飞的民航客机紧急制动，在距离保障车辆约100米处停下。,交通应急处理案例6.txt,AUTO_HIGH
