:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
EVT_CASE_B9F0C9D9AC,MEA_CASE_80354268E0,触发,TRIGGERS,001_跨境口岸通关货车刹车失灵冲撞闸口事故_bc22335d,跨境口岸通关货车刹车失灵冲撞闸口事故,因长下坡刹车过热失灵,0.6200,案例抽取导入
MEA_CASE_7880553438,ORG_CASE_C08151231F,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,交警部门立即封锁事故现场,0.8500,案例抽取导入
MEA_CASE_3A74C82AB2,ORG_CASE_58D13C3595,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,医疗部门派遣救护车转运受伤人员,0.8500,案例抽取导入
MEA_CASE_81A3AA00B6,ORG_CASE_D7C9B35C28,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,自动驾驶测试企业立即暂停所有道路测试,0.8500,案例抽取导入
MEA_CASE_462CC5958C,ORG_CASE_095104B964,实施主体,IMPLEMENTED_BY,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,城管部门协助清理现场,0.8500,案例抽取导入
EVT_CASE_F997FAD57C,EVT_CASE_F873C3BEE1,引发,CAUSES,004_城市马拉松赛事管制路段社会车辆闯入事故_377921af,城市马拉松赛事管制路段社会车辆闯入事故,车辆闯入马拉松赛事赛道，与正在奔跑的参赛选手发生碰撞，造成多名选手倒地，赛事赛道临时中断,0.9000,案例抽取导入
EVT_CASE_BFB7411EC5,EVT_CASE_A0BEE2C0CD,引发,CAUSES,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,浮桥双向通行完全中断,0.9000,案例抽取导入
EVT_CASE_2FEC1FEE85,MEA_CASE_80354268E0,触发,TRIGGERS,006_矿山专用道路矿车刹车失灵冲撞事故_ebcf86b0,矿山专用道路矿车刹车失灵冲撞事故,卡车油箱破损漏油，存在起火、爆炸的重大风险,0.7000,案例抽取导入
EVT_CASE_3AEB5FD10E,MEA_CASE_34B2655045,触发,TRIGGERS,007_机场滑行道社会车辆闯入逼停客机事故_1c26d5d8,机场滑行道社会车辆闯入逼停客机事故,正在滑行准备起飞的民航客机紧急制动,0.9000,案例抽取导入
MEA_CASE_34B2655045,RES_CASE_7C467D3150,调用,REQUIRES,007_机场滑行道社会车辆闯入逼停客机事故_1c26d5d8,机场滑行道社会车辆闯入逼停客机事故,民航客机紧急制动,0.8500,案例抽取导入
EVT_CASE_9CC62EF2EB,MEA_CASE_B804A6CFD8,触发,TRIGGERS,008_共享单车批量转运车侧翻占道事故_2389421b,共享单车批量转运车侧翻占道事故,疏导过往车辆、行人绕行,0.6200,案例抽取导入
EVT_CASE_9CC62EF2EB,MEA_CASE_CEEE944B99,触发,TRIGGERS,008_共享单车批量转运车侧翻占道事故_2389421b,共享单车批量转运车侧翻占道事故,解救被困驾驶员,0.6200,案例抽取导入
EVT_CASE_9CC62EF2EB,MEA_CASE_F2C178773D,触发,TRIGGERS,008_共享单车批量转运车侧翻占道事故_2389421b,共享单车批量转运车侧翻占道事故,清理散落的电单车,0.6200,案例抽取导入
EVT_CASE_4D219D5D07,MEA_CASE_1EE950A88B,触发,TRIGGERS,009_农村出殡队列占道引发多车追尾事故_631152b6,农村出殡队列占道引发多车追尾事故,出殡队列在公路上低速占道行驶,0.6200,案例抽取导入
