source,source_temp_id,source_final_id,source_final_name,source_query_event_ids,relation,target,target_temp_id,target_final_id,target_final_name,target_query_event_ids,case_id,case_title,source_type,target_type,confidence,evidence,source_file,review_status
车辆冲撞,TMP_EVEN_9EF1F8D73F,EVT_CASE_3D68393BCE,车辆冲撞,EVT_CASE_3D68393BCE|EVT_ROAD_DAMAGE|EVT_PRODUCTION_ACCIDENT,TRIGGERS,刹车失灵,TMP_ACTI_1C0A3F70E5,MEA_CASE_80354268E0,刹车失灵,,001_跨境口岸通关货车刹车失灵冲撞闸口事故_bc22335d,跨境口岸通关货车刹车失灵冲撞闸口事故,Event,Action,0.6200,因长下坡刹车过热失灵,交通应急处理案例6.txt,AUTO_MEDIUM
封锁现场,TMP_ACTI_C7B7112E1A,MEA_CASE_7880553438,封锁现场,,IMPLEMENTED_BY,交警部门,TMP_DEPA_1B702136E1,ORG_CASE_C08151231F,交警部门,,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,Action,Department,0.9000,交警部门立即封锁事故现场,交通应急处理案例6.txt,AUTO_HIGH
转运伤员,TMP_ACTI_D3A057F25C,MEA_CASE_3A74C82AB2,转运伤员,,IMPLEMENTED_BY,医疗部门,TMP_DEPA_A54203703C,ORG_CASE_58D13C3595,医疗部门,,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,Action,Department,0.9000,医疗部门派遣救护车转运受伤人员至医院,交通应急处理案例6.txt,AUTO_HIGH
暂停测试,TMP_ACTI_B42652383E,MEA_CASE_81A3AA00B6,暂停测试,,IMPLEMENTED_BY,自动驾驶测试企业,TMP_DEPA_CB588F0C8C,ORG_CASE_D7C9B35C28,自动驾驶测试企业,,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,Action,Department,0.9000,自动驾驶测试企业立即暂停所有道路测试,交通应急处理案例6.txt,AUTO_HIGH
清理现场,TMP_ACTI_24B91DFA11,MEA_CASE_462CC5958C,清理现场,,IMPLEMENTED_BY,城管部门,TMP_DEPA_AFEF7C64FA,ORG_CASE_095104B964,城管部门,,002_城市开放道路自动驾驶测试车失控冲撞事故_420ea99e,城市开放道路自动驾驶测试车失控冲撞事故,Action,Department,0.9000,城管部门协助清理现场,交通应急处理案例6.txt,AUTO_HIGH
车辆闯入赛道,TMP_EVEN_A434D2AE2D,EVT_CASE_F997FAD57C,车辆闯入赛道,EVT_CASE_F997FAD57C|EVT_ROAD_EMERGENCY,CAUSES,马拉松赛事,TMP_EVEN_0B39A8AD5D,EVT_CASE_F873C3BEE1,马拉松赛事,EVT_CASE_F873C3BEE1,004_城市马拉松赛事管制路段社会车辆闯入事故_377921af,城市马拉松赛事管制路段社会车辆闯入事故,Event,Event,0.9000,车辆闯入马拉松赛事赛道，与正在奔跑的参赛选手发生碰撞，造成多名选手倒地，赛事赛道临时中断,交通应急处理案例6.txt,AUTO_HIGH
启动应急预案,TMP_ACTI_190E87531F,MEA_CASE_29AB47FA07,启动应急预案,,IMPLEMENTED_BY,应急管理部门,TMP_DEPA_76F6769CEE,ORG_CASE_D67BC1DFF4,应急管理部门,,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,Action,Department,0.6200,当地应急管理部门启动《水上浮桥突发事件应急预案》,交通应急处理案例6.txt,AUTO_MEDIUM
启动应急预案,TMP_ACTI_190E87531F,MEA_CASE_29AB47FA07,启动应急预案,,REQUIRES,浮桥,TMP_RESO_75F56B8EF8,RES_CASE_2A142E9A69,浮桥,,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,Action,Resource,0.6200,当地应急管理部门启动《水上浮桥突发事件应急预案》,交通应急处理案例6.txt,AUTO_MEDIUM
浮桥坍塌,TMP_EVEN_D1A6E2AF88,EVT_CASE_BFB7411EC5,浮桥坍塌,EVT_CASE_BFB7411EC5|EVT_ROAD_INTERRUPTION|EVT_TRAFFIC_ACCIDENT,TRIGGERS,启动应急预案,TMP_ACTI_190E87531F,MEA_CASE_29AB47FA07,启动应急预案,,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,Event,Action,0.6200,当地应急管理部门启动《水上浮桥突发事件应急预案》,交通应急处理案例6.txt,AUTO_MEDIUM
搜救,TMP_ACTI_64EADA1293,MEA_CASE_4F77886188,搜救,,IMPLEMENTED_BY,消防救援队伍,TMP_DEPA_8F0914F16A,ORG_CASE_CECFFFD120,消防救援队伍,,005_山区水上浮桥重载货车坠河事故_b6cf7837,山区水上浮桥重载货车坠河事故,Action,Department,0.6200,消防救援队伍使用潜水设备、水下破拆工具搜救被困驾驶员,交通应急处理案例6.txt,AUTO_MEDIUM
