id:ID,name,entity_type_cn,:LABEL
EVT_CASE_46F3F2A6FE,货物散落,突发事件,PlanEntity;Event
MEA_CASE_CCA1C043AF,绳索松动,措施,PlanEntity;Action
MEA_CASE_72B697126A,争抢车道,措施,PlanEntity;Action
RES_CASE_37394CF457,ETC车道,应急资源,PlanEntity;Resource
EVT_CASE_F1015EFD7A,树木倒伏砸车,突发事件,PlanEntity;Event
EVT_CASE_99B78A6A1D,大风,突发事件,PlanEntity;Event
MEA_CASE_FB41145C9D,驾驶员疏忽,措施,PlanEntity;Action
MEA_CASE_59284963EB,变道,措施,PlanEntity;Action
RES_CASE_EBFF834422,出租车,应急资源,PlanEntity;Resource
EVT_CASE_E0847BE751,雨天,突发事件,PlanEntity;Event
EVT_CASE_8A08402BEF,路面湿滑,突发事件,PlanEntity;Event
MEA_CASE_0BD5E10FA1,自来水管网改造,措施,PlanEntity;Action
RES_CASE_D5B7A41324,应急车道,应急资源,PlanEntity;Resource
RES_CASE_56323FE07E,三角警示牌,应急资源,PlanEntity;Resource
MEA_CASE_4330D8A549,换胎,措施,PlanEntity;Action
EVT_CASE_9B7EAD055E,轻微交通事故,突发事件,PlanEntity;Event
MEA_CASE_45F3E1F032,调取行车记录仪,措施,PlanEntity;Action
EVT_CASE_877516B43D,拥堵,突发事件,PlanEntity;Event
MEA_CASE_8F94438FD6,尾门未锁紧,措施,PlanEntity;Action
EVT_CASE_F4B6AB6F10,颠簸路段,突发事件,PlanEntity;Event
RES_CASE_8D45F081F4,泥坑,应急资源,PlanEntity;Resource
MEA_CASE_98EAFFD8DB,脱困,措施,PlanEntity;Action
ORG_CASE_DFE92BD53C,驾驶员,部门,PlanEntity;Department
MEA_CASE_DDCBEE7C3A,倒车,措施,PlanEntity;Action
EVT_CASE_83B85C87D6,车辆爆胎,突发事件,PlanEntity;Event
EVT_CASE_DE340ABF0A,路面坑洼,突发事件,PlanEntity;Event
MEA_CASE_1A0150D454,爆胎,措施,PlanEntity;Action
EVT_CASE_3766EFE085,轮胎报废,突发事件,PlanEntity;Event
