case_id,case_title,object_type,object_name,object_role,risk_level,risk_reason,confidence,evidence,import_action
002_城市快速路私家车抛锚阻断单车道事故_a065de5e,城市快速路私家车抛锚阻断单车道事故,case,城市快速路私家车抛锚阻断单车道事故,case,HIGH,case_empty_relations,0.8000,某市城市快速路（限速80km/h）平直路段，一辆小型轿车在行驶过程中突发水温过高报警，随后发动机熄火抛锚在最右侧行车道内。驾驶员开启了双闪灯，但未在车后放置三角警示牌。,needs_reextract
003_乡村公路轻型货车纸箱散落事故_9c9522ce,乡村公路轻型货车纸箱散落事故,entity,绳索松动,Action,MEDIUM,action_weak_semantics,0.7500,因车厢绳索松动,kept_with_risk
003_乡村公路轻型货车纸箱散落事故_9c9522ce,乡村公路轻型货车纸箱散落事故,relation,货物散落-TRIGGERS-绳索松动,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,因车厢绳索松动,kept_with_risk
004_小区门口电动自行车与行人轻微碰撞事故_3e12673c,小区门口电动自行车与行人轻微碰撞事故,entity,电动自行车,Resource,MEDIUM,resource_civilian_vehicle,0.9500,一辆外卖电动自行车,kept_with_risk
004_小区门口电动自行车与行人轻微碰撞事故_3e12673c,小区门口电动自行车与行人轻微碰撞事故,entity,行人,Resource,MEDIUM,resource_weak_semantics,0.9500,一名刚走出小区的行人,kept_with_risk
004_小区门口电动自行车与行人轻微碰撞事故_3e12673c,小区门口电动自行车与行人轻微碰撞事故,entity,碰撞,Action,MEDIUM,action_weak_semantics,0.8000,发生轻微碰撞,kept_with_risk
005_高速公路收费站入口抢道剐蹭事故_b18ce0b3,高速公路收费站入口抢道剐蹭事故,entity,争抢车道,Action,MEDIUM,action_weak_semantics,0.8000,在汇流处争抢进入ETC车道,kept_with_risk
005_高速公路收费站入口抢道剐蹭事故_b18ce0b3,高速公路收费站入口抢道剐蹭事故,entity,ETC车道,Resource,MEDIUM,resource_weak_semantics,0.8000,ETC入口通道,kept_with_risk
005_高速公路收费站入口抢道剐蹭事故_b18ce0b3,高速公路收费站入口抢道剐蹭事故,relation,争抢车道-REQUIRES-ETC车道,Action->Resource,MEDIUM,relation_fallback_inferred,0.6200,在汇流处争抢进入ETC车道,kept_with_risk
005_高速公路收费站入口抢道剐蹭事故_b18ce0b3,高速公路收费站入口抢道剐蹭事故,relation,车辆剐蹭-TRIGGERS-争抢车道,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,在汇流处争抢进入ETC车道,kept_with_risk
007_高架桥私家车燃油耗尽抛锚事故_d357874e,高架桥私家车燃油耗尽抛锚事故,relation,车辆抛锚-TRIGGERS-驾驶员疏忽,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,一辆小型轿车因驾驶员疏忽，未注意油表报警,kept_with_risk
008_商场地下车库溜车剐蹭事故_a0191b3a,商场地下车库溜车剐蹭事故,case,商场地下车库溜车剐蹭事故,case,HIGH,case_empty_relations,0.8000,某大型商场地下车库，一辆SUV驾驶员在寻找车位时临时停车接听电话，因忘记拉手刹，车辆在微小坡度上发生缓慢后溜，尾部顶到后方停放的一辆小轿车车头。,needs_reextract
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,entity,变道,Action,MEDIUM,action_weak_semantics,0.8500,出租车为了抢客突然向右变道,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,entity,出租车,Resource,MEDIUM,resource_weak_semantics,0.9500,一辆出租车为了抢客突然向右变道,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,relation,变道-REQUIRES-出租车,Action->Resource,MEDIUM,relation_fallback_inferred,0.6200,出租车为了抢客突然向右变道,kept_with_risk
009_公交站台出租车变道碰擦公交车事故_634067fd,公交站台出租车变道碰擦公交车事故,relation,车辆碰撞-TRIGGERS-变道,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,出租车为了抢客突然向右变道,kept_with_risk
010_郊区公路小型家具掉落占用车道事故_cc51a2c2,郊区公路小型家具掉落占用车道事故,case,郊区公路小型家具掉落占用车道事故,case,HIGH,case_empty_relations,0.8000,某郊区公路上，一辆敞篷小货车在帮居民搬家时，因绑扎不牢，一张单人床垫从车厢滑落，掉在道路正中央。货车驾驶员未发现并继续驶离。,needs_reextract
011_城市隧道内两车变道轻微剐蹭事故_a356deb0,城市隧道内两车变道轻微剐蹭事故,entity,变道,Action,MEDIUM,action_weak_semantics,0.8000,一辆白色轿车在虚线路段向左变道时,kept_with_risk
011_城市隧道内两车变道轻微剐蹭事故_a356deb0,城市隧道内两车变道轻微剐蹭事故,entity,隧道,Resource,MEDIUM,resource_weak_semantics,0.9000,某市穿山隧道内,kept_with_risk
013_道路施工临时围挡倾倒阻碍交通事故_dd8e4e79,道路施工临时围挡倾倒阻碍交通事故,entity,自来水管网改造,Action,MEDIUM,action_weak_semantics,0.9500,某城市次干道正在进行自来水管网改造,kept_with_risk
013_道路施工临时围挡倾倒阻碍交通事故_dd8e4e79,道路施工临时围挡倾倒阻碍交通事故,relation,道路施工安全事故-TRIGGERS-自来水管网改造,Event->Action,MEDIUM,relation_fallback_inferred,0.6200,某城市次干道正在进行自来水管网改造,kept_with_risk
014_高速公路应急车道违停换胎未设警示事故_c628b222,高速公路应急车道违停换胎未设警示事故,entity,应急车道,Resource,MEDIUM,resource_weak_semantics,0.9500,将车停在应急车道内,kept_with_risk
014_高速公路应急车道违停换胎未设警示事故_c628b222,高速公路应急车道违停换胎未设警示事故,entity,三角警示牌,Resource,MEDIUM,resource_weak_semantics,0.9000,未在车后放置三角警示牌,kept_with_risk
014_高速公路应急车道违停换胎未设警示事故_c628b222,高速公路应急车道违停换胎未设警示事故,entity,换胎,Action,MEDIUM,action_weak_semantics,0.8500,准备自行更换备胎,kept_with_risk
015_学校周边接送车辆轻微碰瓷纠纷_4356839f,学校周边接送车辆轻微碰瓷纠纷,entity,私家车,Resource,MEDIUM,resource_civilian_vehicle,0.9500,一辆缓慢行驶的私家车侧面,kept_with_risk
