run_id,run_time,sample_id,group_id,retrieval_mode,agent_mode,enable_review,enable_revision,model_name,latency_ms,input_tokens,output_tokens,total_tokens,approved_like,executability_score,safety_score,constraint_alignment_score,evidence_grounding_score,total_score,rule_total_score,score_backend,llm_judge_enabled,llm_judge_success,llm_judge_weight,llm_judge_model,llm_executability_score,llm_safety_score,llm_compliance_score,llm_overall_score,llm_judge_reason,llm_judge_error,constraint_coverage,critical_miss_rate,has_forbidden_action,critical_action_missed,missing_actions_count,violated_constraints_count,evidence_hit_count,notes
R20260410173411,2026-04-10T17:34:11,S001,G3,dual,single,0,0,gemma-3-27b-it,23361,0,0,0,1,0.9,1.0,1.0,0.8,0.95,0.9,llm,1,1,0.6,xopdeepseekv32,0.95,0.9,1.0,0.95,策略步骤完整、具体，覆盖交通管制、预警发布、消防救援、医疗救助、清障分流、事故调查等环节，可执行性强。充分考虑了团雾、火灾、二次事故等风险控制。完全符合相关法律法规和应急处理程序。,,1.0,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S002,G3,dual,single,0,0,gemma-3-27b-it,22376,0,0,0,1,0.9,0.95,0.9,0.7,0.85,0.86,llm,1,1,0.6,xopdeepseekv32,0.85,0.8,0.9,0.85,方案步骤完整，职责清晰，可执行性强。但对隧道内高浓度可燃蒸汽环境下的救援作业风险控制细节稍显不足。符合相关预案和法律要求。,,0.9,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S003,G3,dual,single,0,0,gemma-3-27b-it,25233,0,0,0,1,0.85,0.95,0.9,0.7,0.93,0.85,llm,1,1,0.6,xopdeepseekv32,0.9,0.9,1.0,0.93,方案步骤具体完整，职责清晰，可执行性强。充分考虑了人员救援、桥梁固定、风险监测与控制等安全要素。符合相关法律法规和应急预案的要求。,,0.9,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S006,G3,dual,single,0,0,gemma-3-27b-it,26657,0,0,0,1,0.9,1.0,1.0,0.8,0.93,0.9,llm,1,1,0.6,xopdeepseekv32,0.95,0.9,0.95,0.93,策略步骤具体完整，责任分工明确。灭火、警戒、监测、疏散、医疗、清理、信息发布、事故调查和恢复通行环节全面，充分考虑了风险控制。完全符合相关法规与应急预案要求。,,1.0,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S011,G3,dual,single,0,0,gemma-3-27b-it,18261,0,0,0,1,0.9,1.0,1.0,0.8,0.8,0.9,llm,1,1,0.6,xopdeepseekv32,0.8,0.7,0.9,0.8,方案步骤完整清晰，可操作性强。但对液氨泄漏核心风险（如风向控制、人员防护等级）的控制措施描述不够充分，可能引发新风险。总体上符合相关预案法规要求。,,1.0,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S014,G3,dual,single,0,0,gemma-3-27b-it,28873,0,0,0,1,0.8,0.9,0.8,0.6,0.87,0.78,llm,1,1,0.6,xopdeepseekv32,0.9,0.8,0.9,0.87,策略步骤清晰完整，可执行性强；涵盖了人员救援、风险控制、交通管制和后期处置，符合法规预案。但对“持续暴雨”和“路面开裂”等极高风险的持续动态控制方案稍显宽泛。,,0.8,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S015,G3,dual,single,0,0,gemma-3-27b-it,15800,0,0,0,1,0.8,0.9,0.7,0.7,0.8,0.78,llm,1,1,0.6,xopdeepseekv32,0.7,0.8,0.9,0.8,方案步骤清晰、权责明确，符合应急预案基本框架。但对山区坠崖、起火等具体救援难点（如高空救援、直升机转运）未详细描述，可执行性不足。安全控制措施总体得当，但未充分评估二次落石等环境风险。,,0.7,0.0,0,0,1,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S016,G3,dual,single,0,0,gemma-3-27b-it,17274,0,0,0,1,0.9,0.95,1.0,0.8,0.85,0.91,llm,1,1,0.6,xopdeepseekv32,0.85,0.8,0.9,0.85,方案步骤具体、职责清晰，覆盖了现场处置、风险控制、交通疏导、医疗救护和环境监测等关键环节。对泄漏处置和二次爆炸风险有所提及，但具体风险控制措施如疏散、监测和处置方案可更具体。引用了多项相关法规，总体合规。,,1.0,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S019,G3,dual,single,0,0,gemma-3-27b-it,20424,0,0,0,1,0.8,0.9,0.7,0.6,0.93,0.75,llm,1,1,0.6,xopdeepseekv32,0.9,0.9,1.0,0.93,方案步骤完整，职责明确，可操作性强。充分考虑了伤员救助、现场管控、调查清理等关键环节，并提及总结改进和新闻发布，符合相关法律法规和预案要求。未明显提及对恐慌和踩踏次生风险的专项安抚与疏导措施，稍有不足。,,0.7,0.0,0,0,0,0,1,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
R20260410173411,2026-04-10T17:34:11,S020,G3,dual,single,0,0,gemma-3-27b-it,21859,0,0,0,1,0.9,1.0,1.0,0.8,0.93,0.9,llm,1,1,0.6,xopdeepseekv32,0.95,0.9,0.95,0.93,方案步骤明确、完整、可操作性强，覆盖了现场管控、救援、医疗、疏散、清理、调查、协调和响应各环节，符合应急预案要求。考虑了现场风险和二次事故预防，整体安全可控。法律法规引用得当，行动依据充分。,,1.0,0.0,0,0,0,0,2,实验模式：single_agent 已执行单智能体一体化处置，跳过评审
