id:ID,name,entity_type_cn,:LABEL
ORG_CASE_F3733BF715,120,部门,PlanEntity;Department
ORG_CASE_C9CD17705A,122,部门,PlanEntity;Department
ORG_CASE_095104B964,城管部门,部门,PlanEntity;Department
MEA_CASE_462CC5958C,清理现场,措施,PlanEntity;Action
MEA_CASE_841676482D,修复受损护栏,措施,PlanEntity;Action
EVT_CASE_627C2CA797,高速爆胎,突发事件,PlanEntity;Event
ORG_CASE_DA3B807A38,交警,部门,PlanEntity;Department
EVT_CASE_6B0244EB44,多车剐蹭,突发事件,PlanEntity;Event
MEA_CASE_B843E25685,剐蹭碰撞,措施,PlanEntity;Action
RES_CASE_5D3DC97D24,皮卡,应急资源,PlanEntity;Resource
EVT_CASE_EA546C3294,隧道积水车辆被困,突发事件,PlanEntity;Event
EVT_CASE_5CECC4C9FA,积水,突发事件,PlanEntity;Event
MEA_CASE_AA591130A1,破拆,措施,PlanEntity;Action
EVT_CASE_021E7BDA96,施工区域车辆碰撞行人,突发事件,PlanEntity;Event
MEA_CASE_93B737DA07,驾驶员分心驾驶,措施,PlanEntity;Action
ORG_CASE_78A3399250,消防人员,部门,PlanEntity;Department
ORG_CASE_E5E7F0AEC0,医疗人员,部门,PlanEntity;Department
ORG_CASE_3C2C056CF5,海事部门,部门,PlanEntity;Department
ORG_CASE_12F41DBD86,路政部门,部门,PlanEntity;Department
ORG_CASE_4A8D0AECA5,村委会,部门,PlanEntity;Department
MEA_CASE_90733D6AFA,打捞,措施,PlanEntity;Action
ORG_CASE_E4BC9E3125,路政人员,部门,PlanEntity;Department
MEA_CASE_ACD9609DFB,转移,措施,PlanEntity;Action
RES_CASE_6A5007AF8C,客车,应急资源,PlanEntity;Resource
RES_CASE_7CD39CFBB2,货车,应急资源,PlanEntity;Resource
EVT_CASE_71A0CC4ACB,新能源汽车起火,突发事件,PlanEntity;Event
MEA_CASE_0BF2A9DC72,侧翻,措施,PlanEntity;Action
EVT_CASE_A6BC66FD76,横风,突发事件,PlanEntity;Event
MEA_CASE_FFCFDC93C4,护栏修复,措施,PlanEntity;Action
MEA_CASE_AF64FD25F0,交通疏导,措施,PlanEntity;Action
EVT_CASE_A950E1F9BF,车辆碰撞树木,突发事件,PlanEntity;Event
RES_CASE_09E43A9CF9,校车,应急资源,PlanEntity;Resource
MEA_CASE_B8803D4F47,紧急避让,措施,PlanEntity;Action
EVT_CASE_A781D70C8D,道路拥堵,突发事件,PlanEntity;Event
MEA_CASE_D9A7C36974,拖移事故车辆,措施,PlanEntity;Action
EVT_CASE_CDD39AAD13,电动自行车逆行碰撞,突发事件,PlanEntity;Event
EVT_CASE_61047CDF1B,车辆自燃,突发事件,PlanEntity;Event
ORG_CASE_2479FEF9A4,林业部门,部门,PlanEntity;Department
MEA_CASE_36DBC83B98,封闭公路,措施,PlanEntity;Action
MEA_CASE_7D42417395,清理落叶,措施,PlanEntity;Action
MEA_CASE_450A825FE7,拖移车辆,措施,PlanEntity;Action
RES_CASE_334F483C4E,清扫车,应急资源,PlanEntity;Resource
MEA_CASE_53ED0B4B6F,遗撒,措施,PlanEntity;Action
EVT_CASE_954A2AAAEA,渡船倾斜,突发事件,PlanEntity;Event
RES_CASE_C54C46856D,渡船,应急资源,PlanEntity;Resource
EVT_CASE_2266E83C3A,船体倾斜,突发事件,PlanEntity;Event
ORG_CASE_6DEAB2960B,工程施工单位,部门,PlanEntity;Department
MEA_CASE_A0148F49D9,安全整改,措施,PlanEntity;Action
MEA_CASE_AC1DB23CF7,卸货,措施,PlanEntity;Action
