:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
MEA_CASE_1BCFC5476A,ORG_CASE_F3733BF715,实施主体,IMPLEMENTED_BY,001_案例1_城市BRT公交站台电动车闯入撞人事故_31bdc65a,案例1：城市BRT公交站台电动车闯入撞人事故,BRT站台工作人员立即启动应急预案，疏散候车乘客，拨打120、122报警,0.7000,案例抽取导入
MEA_CASE_1BCFC5476A,ORG_CASE_C9CD17705A,实施主体,IMPLEMENTED_BY,001_案例1_城市BRT公交站台电动车闯入撞人事故_31bdc65a,案例1：城市BRT公交站台电动车闯入撞人事故,BRT站台工作人员立即启动应急预案，疏散候车乘客，拨打120、122报警,0.7000,案例抽取导入
MEA_CASE_462CC5958C,ORG_CASE_095104B964,实施主体,IMPLEMENTED_BY,001_案例1_城市BRT公交站台电动车闯入撞人事故_31bdc65a,案例1：城市BRT公交站台电动车闯入撞人事故,城管部门协助清理现场，修复受损护栏,0.8000,案例抽取导入
MEA_CASE_841676482D,ORG_CASE_095104B964,实施主体,IMPLEMENTED_BY,001_案例1_城市BRT公交站台电动车闯入撞人事故_31bdc65a,案例1：城市BRT公交站台电动车闯入撞人事故,城管部门协助清理现场，修复受损护栏,0.8000,案例抽取导入
EVT_CASE_627C2CA797,EVT_CASE_9CC62EF2EB,引发,CAUSES,002_案例2_冷链运输车高速爆胎侧翻冻品散落事故_b7d6d2bd,案例2：冷链运输车高速爆胎侧翻冻品散落事故,因左后轮长期未更换高速爆胎，车辆失控侧翻,0.9800,案例抽取导入
MEA_CASE_B804A6CFD8,ORG_CASE_DA3B807A38,实施主体,IMPLEMENTED_BY,002_案例2_冷链运输车高速爆胎侧翻冻品散落事故_b7d6d2bd,案例2：冷链运输车高速爆胎侧翻冻品散落事故,交警封闭事故路段，开启高速预警提示，疏导车辆从就近出口分流,0.9500,案例抽取导入
MEA_CASE_F2C178773D,ORG_CASE_B6CBD41599,实施主体,IMPLEMENTED_BY,002_案例2_冷链运输车高速爆胎侧翻冻品散落事故_b7d6d2bd,案例2：冷链运输车高速爆胎侧翻冻品散落事故,交通部门调集吊车、清障车、冷链转运车，先将未破损冻品紧急转运，再清理散落包装箱和车辆残骸,0.9500,案例抽取导入
EVT_CASE_9CC62EF2EB,MEA_CASE_B804A6CFD8,触发,TRIGGERS,002_案例2_冷链运输车高速爆胎侧翻冻品散落事故_b7d6d2bd,案例2：冷链运输车高速爆胎侧翻冻品散落事故,交警封闭事故路段，开启高速预警提示，疏导车辆从就近出口分流,0.9000,案例抽取导入
EVT_CASE_9CC62EF2EB,MEA_CASE_F2C178773D,触发,TRIGGERS,002_案例2_冷链运输车高速爆胎侧翻冻品散落事故_b7d6d2bd,案例2：冷链运输车高速爆胎侧翻冻品散落事故,交通部门调集吊车、清障车、冷链转运车，先将未破损冻品紧急转运，再清理散落包装箱和车辆残骸,0.9000,案例抽取导入
EVT_CASE_6B445BB3BF,EVT_ROAD_INTERRUPTION,引发,CAUSES,003_案例3_城郊结合部渣土车闯红灯撞毁电动车事故_732687a5,案例3：城郊结合部渣土车闯红灯撞毁电动车事故,路口双向交通完全中断，周边群众围观聚集，交通瘫痪近1公里,0.9000,案例抽取导入
EVT_DUST_STORM,EVT_CASE_6B0244EB44,引发,CAUSES,004_案例4_沙漠公路风沙遮眼多车剐蹭事故_8187350c,案例4：沙漠公路风沙遮眼多车剐蹭事故,西北某沙漠公路路段，突发强沙尘暴，瞬时风力达8级，风沙完全遮挡视线，能见度不足10米，3辆小型轿车、1辆皮卡因视线受阻、车速过快，接连发生剐蹭碰撞,0.9000,案例抽取导入
EVT_DUST_STORM,MEA_CASE_B843E25685,触发,TRIGGERS,004_案例4_沙漠公路风沙遮眼多车剐蹭事故_8187350c,案例4：沙漠公路风沙遮眼多车剐蹭事故,3辆小型轿车、1辆皮卡因视线受阻、车速过快，接连发生剐蹭碰撞,0.8000,案例抽取导入
MEA_CASE_B843E25685,RES_CASE_70407E27F9,调用,REQUIRES,004_案例4_沙漠公路风沙遮眼多车剐蹭事故_8187350c,案例4：沙漠公路风沙遮眼多车剐蹭事故,3辆小型轿车、1辆皮卡因视线受阻、车速过快，接连发生剐蹭碰撞,0.7000,案例抽取导入
MEA_CASE_B843E25685,RES_CASE_5D3DC97D24,调用,REQUIRES,004_案例4_沙漠公路风沙遮眼多车剐蹭事故_8187350c,案例4：沙漠公路风沙遮眼多车剐蹭事故,3辆小型轿车、1辆皮卡因视线受阻、车速过快，接连发生剐蹭碰撞,0.7000,案例抽取导入
EVT_RAINSTORM,EVT_CASE_5CECC4C9FA,引发,CAUSES,005_案例5_城市下穿隧道积水车辆熄火被困事故_3fa003b7,案例5：城市下穿隧道积水车辆熄火被困事故,因突降大暴雨，路面积水迅速上涨,0.9500,案例抽取导入
EVT_CASE_5CECC4C9FA,EVT_CASE_EA546C3294,引发,CAUSES,005_案例5_城市下穿隧道积水车辆熄火被困事故_3fa003b7,案例5：城市下穿隧道积水车辆熄火被困事故,路面积水迅速上涨至60厘米，2辆小型轿车、1辆SUV驶入积水区后依次熄火，车内共5人被困,0.9000,案例抽取导入
MEA_CASE_AA591130A1,RES_CASE_42E3A09DF1,调用,REQUIRES,005_案例5_城市下穿隧道积水车辆熄火被困事故_3fa003b7,案例5：城市下穿隧道积水车辆熄火被困事故,消防人员携带救生衣、破拆工具、排水泵赶赴现场，采用破拆车窗、搭建救生通道方式救出被困人员,0.7000,案例抽取导入
EVT_CASE_021E7BDA96,MEA_CASE_93B737DA07,触发,TRIGGERS,007_案例7_高速公路养护作业区车辆闯入撞伤工人事故_07cfeba7,案例7：高速公路养护作业区车辆闯入撞伤工人事故,因驾驶员分心驾驶,0.6200,案例抽取导入
MEA_CASE_4DEF057716,ORG_CASE_4A8D0AECA5,实施主体,IMPLEMENTED_BY,008_案例8_乡村临水路段三轮车坠河乘客落水事故_762bb684,案例8：乡村临水路段三轮车坠河乘客落水事故,当地村委会第一时间组织村民开展初期救援，投放救生圈、竹竿辅助自救，同时拨打119、120报警。,0.9000,案例抽取导入
