case_id,case_title,source_file,entity_temp_id,entity_name,entity_type,resolution_type,final_entity_id,final_entity_name,is_new_entity,primary_event_id,primary_event_name,expanded_event_ids,expanded_event_names,query_event_ids,query_event_names,alias_patch_target_ids,alias_patch_target_names,normalized_id,normalized_name,normalized_score,matched_alias,extraction_confidence,evidence,review_status
002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f,连霍高速洛阳段货车侧翻货物散落事故,交通应急处理案例2.txt,TMP_EVEN_1246DFBD7C,车辆侧翻,Event,new_event_with_expansions,EVT_CASE_9CC62EF2EB,车辆侧翻,true,EVT_CASE_9CC62EF2EB,车辆侧翻,EVT_VEHICLE_BACKLOG|EVT_ROAD_BLOCKAGE|EVT_TRAFFIC_ACCIDENT,车辆积压|公路阻塞|交通事故,EVT_CASE_9CC62EF2EB|EVT_VEHICLE_BACKLOG|EVT_ROAD_BLOCKAGE|EVT_TRAFFIC_ACCIDENT,车辆侧翻|车辆积压|公路阻塞|交通事故,EVT_VEHICLE_BACKLOG|EVT_ROAD_BLOCKAGE|EVT_TRAFFIC_ACCIDENT,车辆积压|公路阻塞|交通事故,,,0.0000,,0.9000,连霍高速洛阳段K682公里处，一辆装载瓷砖的重型货车，因驾驶员操作不当，在高速出口匝道处发生侧翻,REVIEW_REQUIRED
002_连霍高速洛阳段货车侧翻货物散落事故_b2d03a8f,连霍高速洛阳段货车侧翻货物散落事故,交通应急处理案例2.txt,TMP_EVEN_1128BAD584,瓷砖散落,Event,new_event,EVT_CASE_04E49A0DEE,瓷砖散落,true,EVT_CASE_04E49A0DEE,瓷砖散落,,,EVT_CASE_04E49A0DEE,瓷砖散落,,,,,0.0000,,0.8000,车载瓷砖全部散落至行车道与应急车道,REVIEW_REQUIRED
003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,交通应急处理案例2.txt,TMP_EVEN_14E22A3246,交通碰撞,Event,new_event_with_expansions,EVT_CASE_9DD0BDA4CE,交通碰撞,true,EVT_CASE_9DD0BDA4CE,交通碰撞,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_CASE_9DD0BDA4CE|EVT_TRAFFIC_ACCIDENT,交通碰撞|交通事故,EVT_TRAFFIC_ACCIDENT,交通事故,,,0.0000,,0.9000,一辆公交车在绿灯通行时，与闯红灯的电动自行车发生碰撞,REVIEW_REQUIRED
003_城市主干道公交车与电动车碰撞事故_a4b4dfcf,城市主干道公交车与电动车碰撞事故,交通应急处理案例2.txt,TMP_EVEN_9C06F17B38,车辆积压,Event,alias_match,EVT_VEHICLE_BACKLOG,车辆积压,false,EVT_VEHICLE_BACKLOG,车辆积压,,,EVT_VEHICLE_BACKLOG,车辆积压,,,EVT_VEHICLE_BACKLOG,车辆积压,0.1972,车辆滞留,0.7000,路口双向交通拥堵，周边3个路口出现车辆滞留,REVIEW_REQUIRED
004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,交通应急处理案例2.txt,TMP_EVEN_D5553AB3ED,道路滑坡,Event,new_event_with_expansions,EVT_CASE_7ABA9AF1E4,道路滑坡,true,EVT_CASE_7ABA9AF1E4,道路滑坡,EVT_ROAD_INTERRUPTION|EVT_ROAD_DAMAGE|EVT_ROAD_BLOCKAGE,公路中断|公路损毁|公路阻塞,EVT_CASE_7ABA9AF1E4|EVT_ROAD_INTERRUPTION|EVT_ROAD_DAMAGE|EVT_ROAD_BLOCKAGE,道路滑坡|公路中断|公路损毁|公路阻塞,EVT_ROAD_INTERRUPTION|EVT_ROAD_DAMAGE|EVT_ROAD_BLOCKAGE,公路中断|公路损毁|公路阻塞,,,0.0000,,0.9000,因连续多日降雨，山体发生小型滑坡，大量泥土、石块滚落至路面，将整个道路完全阻断,REVIEW_REQUIRED
004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,交通应急处理案例2.txt,TMP_RESO_A516D5049E,挖掘机,Resource,existing_match,RES_EXCAVATOR,挖掘机,false,,,,,,,,,RES_EXCAVATOR,挖掘机,1.0000,挖掘机,0.7000,调用挖掘机、装载机等设备，清理路面滑坡体,AUTO_HIGH
004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,交通应急处理案例2.txt,TMP_RESO_B7BF821148,装载机,Resource,existing_match,RES_LOADER,装载机,false,,,,,,,,,RES_LOADER,装载机,1.0000,装载机,0.7000,调用挖掘机、装载机等设备，清理路面滑坡体,AUTO_HIGH
004_山区公路滑坡阻断交通事故_63a86176,山区公路滑坡阻断交通事故,交通应急处理案例2.txt,TMP_ACTI_5581AE5DDC,救援,Action,new_entity,MEA_CASE_4DEF057716,救援,true,,,,,,,,,,,0.2111,,0.6000,救援人员成功解救被困驾驶员,REVIEW_REQUIRED
005_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,交通应急处理案例2.txt,TMP_EVEN_75EAF05C81,车辆起火,Event,new_event_with_expansions,EVT_CASE_09C02D083D,车辆起火,true,EVT_CASE_09C02D083D,车辆起火,EVT_TRAFFIC_ACCIDENT,交通事故,EVT_CASE_09C02D083D|EVT_TRAFFIC_ACCIDENT,车辆起火|交通事故,EVT_TRAFFIC_ACCIDENT,交通事故,,,0.0000,,0.9800,一辆小型轿车在停车场内充电时，因电池短路引发起火，火势迅速蔓延至车辆全身,REVIEW_REQUIRED
005_高速服务区车辆起火事故_dac6bbf7,高速服务区车辆起火事故,交通应急处理案例2.txt,TMP_ACTI_C2234C337F,电池短路,Action,new_entity,MEA_CASE_5E9CDA061E,电池短路,true,,,,,,,,,,,0.1758,,0.9500,因电池短路引发起火,REVIEW_REQUIRED
