:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
EVT_CASE_E558F7CE44,MEA_CASE_B396D82FB5,触发,TRIGGERS,002_案例1_城市BRT公交站台电动车闯入撞人事故_31bdc65a,案例1：城市BRT公交站台电动车闯入撞人事故,BRT站台工作人员立即启动应急预案，拨打120、122报警,0.8500,案例抽取导入
MEA_CASE_F2C178773D,ORG_CASE_095104B964,实施主体,IMPLEMENTED_BY,002_案例1_城市BRT公交站台电动车闯入撞人事故_31bdc65a,案例1：城市BRT公交站台电动车闯入撞人事故,城管部门协助清理现场,0.9000,案例抽取导入
EVT_CASE_627C2CA797,EVT_CASE_9CC62EF2EB,引发,CAUSES,003_案例2_冷链运输车高速爆胎侧翻冻品散落事故_b7d6d2bd,案例2：冷链运输车高速爆胎侧翻冻品散落事故,因左后轮长期未更换高速爆胎，车辆失控侧翻,0.9800,案例抽取导入
EVT_CASE_0E43F35CA8,MEA_CASE_CF67B7CA0F,触发,TRIGGERS,004_案例3_城郊结合部渣土车闯红灯撞毁电动车事故_732687a5,案例3：城郊结合部渣土车闯红灯撞毁电动车事故,无视红灯信号强行通过路口,0.6200,案例抽取导入
MEA_CASE_7E150A3C7F,RES_CASE_6619311C3D,调用,REQUIRES,004_案例3_城郊结合部渣土车闯红灯撞毁电动车事故_732687a5,案例3：城郊结合部渣土车闯红灯撞毁电动车事故,一辆重型渣土车超载运输渣土,0.6200,案例抽取导入
EVT_CASE_0E43F35CA8,MEA_CASE_7E150A3C7F,触发,TRIGGERS,004_案例3_城郊结合部渣土车闯红灯撞毁电动车事故_732687a5,案例3：城郊结合部渣土车闯红灯撞毁电动车事故,一辆重型渣土车超载运输渣土,0.6200,案例抽取导入
EVT_DUST_STORM,EVT_CASE_3DFC391232,引发,CAUSES,005_案例4_沙漠公路风沙遮眼多车剐蹭事故_8187350c,案例4：沙漠公路风沙遮眼多车剐蹭事故,西北某沙漠公路路段，突发强沙尘暴，瞬时风力达8级，风沙完全遮挡视线，能见度不足10米，3辆小型轿车、1辆皮卡因视线受阻、车速过快，接连发生剐蹭碰撞,0.9500,案例抽取导入
EVT_DUST_STORM,EVT_VEHICLE_BACKLOG,引发,CAUSES,005_案例4_沙漠公路风沙遮眼多车剐蹭事故_8187350c,案例4：沙漠公路风沙遮眼多车剐蹭事故,车辆横停在路面，部分车辆保险杠脱落、玻璃破损。车辆滞留长达12公里,0.8500,案例抽取导入
EVT_RAINSTORM,EVT_CASE_5CECC4C9FA,引发,CAUSES,006_案例5_城市下穿隧道积水车辆熄火被困事故_3fa003b7,案例5：城市下穿隧道积水车辆熄火被困事故,因突降大暴雨，排水系统超负荷运行，路面积水迅速上涨,0.9500,案例抽取导入
EVT_CASE_5CECC4C9FA,EVT_CASE_EA546C3294,引发,CAUSES,006_案例5_城市下穿隧道积水车辆熄火被困事故_3fa003b7,案例5：城市下穿隧道积水车辆熄火被困事故,路面积水迅速上涨至60厘米，2辆小型轿车、1辆SUV驶入积水区后依次熄火，车内共5人被困,0.9000,案例抽取导入
EVT_CASE_55F238E968,MEA_CASE_5FC20D97EE,触发,TRIGGERS,008_案例7_高速公路养护作业区车辆闯入撞伤工人事故_07cfeba7,案例7：高速公路养护作业区车辆闯入撞伤工人事故,因驾驶员分心驾驶,0.6200,案例抽取导入
EVT_CASE_6BDDB473ED,MEA_CASE_4DEF057716,触发,TRIGGERS,009_案例8_乡村临水路段三轮车坠河乘客落水事故_762bb684,案例8：乡村临水路段三轮车坠河乘客落水事故,车辆坠入2米深河中，驾乘人员全部落水，部分人员不会游泳，挣扎呼救。当地村委会第一时间组织村民开展初期救援，投放救生圈、竹竿辅助自救，同时拨打119、120报警；消防人员携带冲锋舟、救生衣赶赴现场，打捞落水人员，排查溺水隐患；医疗人员现场对呛水、受伤人员进行吸氧、包扎处置，转运至乡镇医院；海事与路政部门协助打捞落水车辆，清理河道,0.9000,案例抽取导入
MEA_CASE_4DEF057716,ORG_CASE_4A8D0AECA5,实施主体,IMPLEMENTED_BY,009_案例8_乡村临水路段三轮车坠河乘客落水事故_762bb684,案例8：乡村临水路段三轮车坠河乘客落水事故,当地村委会第一时间组织村民开展初期救援，投放救生圈、竹竿辅助自救，同时拨打119、120报警,0.8000,案例抽取导入
MEA_CASE_4DEF057716,ORG_CASE_78A3399250,实施主体,IMPLEMENTED_BY,009_案例8_乡村临水路段三轮车坠河乘客落水事故_762bb684,案例8：乡村临水路段三轮车坠河乘客落水事故,消防人员携带冲锋舟、救生衣赶赴现场，打捞落水人员，排查溺水隐患,0.8000,案例抽取导入
MEA_CASE_4DEF057716,ORG_CASE_E5E7F0AEC0,实施主体,IMPLEMENTED_BY,009_案例8_乡村临水路段三轮车坠河乘客落水事故_762bb684,案例8：乡村临水路段三轮车坠河乘客落水事故,医疗人员现场对呛水、受伤人员进行吸氧、包扎处置，转运至乡镇医院,0.8000,案例抽取导入
MEA_CASE_90733D6AFA,ORG_CASE_3C2C056CF5,实施主体,IMPLEMENTED_BY,009_案例8_乡村临水路段三轮车坠河乘客落水事故_762bb684,案例8：乡村临水路段三轮车坠河乘客落水事故,海事与路政部门协助打捞落水车辆，清理河道,0.8000,案例抽取导入
MEA_CASE_90733D6AFA,ORG_CASE_12F41DBD86,实施主体,IMPLEMENTED_BY,009_案例8_乡村临水路段三轮车坠河乘客落水事故_762bb684,案例8：乡村临水路段三轮车坠河乘客落水事故,海事与路政部门协助打捞落水车辆，清理河道,0.8000,案例抽取导入
EVT_CASE_4D219D5D07,MEA_CASE_0F40324895,触发,TRIGGERS,010_案例9_城市高架路宠物窜出引发多车急刹追尾事故_772f45c7,案例9：城市高架路宠物窜出引发多车急刹追尾事故,紧急刹车避让,0.6200,案例抽取导入
EVT_HAZMAT_LEAK,MEA_CASE_1BCFC5476A,触发,TRIGGERS,011_案例10_液化气罐运输车省道剐蹭泄漏事故_e907c177,案例10：液化气罐运输车省道剐蹭泄漏事故,周边群众紧急疏散。,0.8000,案例抽取导入
MEA_CASE_F2C178773D,RES_CASE_D7EB68391B,调用,REQUIRES,012_案例11_地铁口接驳三轮车扎堆载客碰撞行人事故_55455401,案例11：地铁口接驳三轮车扎堆载客碰撞行人事故,交警与城管联合到场，清理违规揽客车辆,0.6000,案例抽取导入
EVT_CASE_4D219D5D07,EVT_ROAD_INTERRUPTION,引发,CAUSES,013_案例12_山区雾区客车追尾货车乘客被困事故_c8333410,案例12：山区雾区客车追尾货车乘客被困事故,造成客车驾驶员1人重伤、8名乘客不同程度受伤，货车尾部轻微受损，双向交通中断,0.9000,案例抽取导入
