id:ID,name,entity_type_cn,:LABEL
EVT_CASE_E558F7CE44,电动自行车闯入撞人,突发事件,PlanEntity;Event
MEA_CASE_B396D82FB5,报警,措施,PlanEntity;Action
MEA_CASE_F2C178773D,清理,措施,PlanEntity;Action
ORG_CASE_095104B964,城管部门,部门,PlanEntity;Department
EVT_CASE_9CC62EF2EB,车辆侧翻,突发事件,PlanEntity;Event
EVT_CASE_627C2CA797,高速爆胎,突发事件,PlanEntity;Event
EVT_CASE_0E43F35CA8,道路交通碰撞事故,突发事件,PlanEntity;Event
RES_CASE_6619311C3D,渣土车,应急资源,PlanEntity;Resource
MEA_CASE_CF67B7CA0F,闯红灯,措施,PlanEntity;Action
MEA_CASE_7E150A3C7F,超载运输,措施,PlanEntity;Action
EVT_CASE_3DFC391232,沙尘暴引发多车碰撞,突发事件,PlanEntity;Event
EVT_DUST_STORM,沙尘暴,突发事件,PlanEntity;Event
EVT_CASE_EA546C3294,隧道积水车辆被困,突发事件,PlanEntity;Event
EVT_CASE_5CECC4C9FA,积水,突发事件,PlanEntity;Event
EVT_CASE_55F238E968,施工区域车辆撞人,突发事件,PlanEntity;Event
MEA_CASE_5FC20D97EE,分心驾驶,措施,PlanEntity;Action
EVT_CASE_6BDDB473ED,车辆坠水,突发事件,PlanEntity;Event
ORG_CASE_78A3399250,消防人员,部门,PlanEntity;Department
ORG_CASE_E5E7F0AEC0,医疗人员,部门,PlanEntity;Department
ORG_CASE_3C2C056CF5,海事部门,部门,PlanEntity;Department
ORG_CASE_12F41DBD86,路政部门,部门,PlanEntity;Department
ORG_CASE_4A8D0AECA5,村委会,部门,PlanEntity;Department
MEA_CASE_4DEF057716,救援,措施,PlanEntity;Action
MEA_CASE_90733D6AFA,打捞,措施,PlanEntity;Action
EVT_CASE_4D219D5D07,追尾事故,突发事件,PlanEntity;Event
MEA_CASE_0F40324895,紧急刹车,措施,PlanEntity;Action
MEA_CASE_1BCFC5476A,疏散,措施,PlanEntity;Action
RES_CASE_D7EB68391B,电动三轮车,应急资源,PlanEntity;Resource
EVT_CASE_3B6CFC25B4,车辆滞留,突发事件,PlanEntity;Event
EVT_CASE_F4726E4011,车辆侧滑,突发事件,PlanEntity;Event
EVT_CASE_D185192C70,农用车侧翻,突发事件,PlanEntity;Event
RES_CASE_54F286D5B7,农用车,应急资源,PlanEntity;Resource
MEA_CASE_0BF2A9DC72,侧翻,措施,PlanEntity;Action
EVT_CASE_0572C3743B,机耕路中断,突发事件,PlanEntity;Event
EVT_CASE_A6BC66FD76,横风,突发事件,PlanEntity;Event
RES_CASE_09E43A9CF9,校车,应急资源,PlanEntity;Resource
MEA_CASE_E33AA7920D,避让,措施,PlanEntity;Action
MEA_CASE_93CB94C545,撞树,措施,PlanEntity;Action
ORG_CASE_DA3B807A38,交警,部门,PlanEntity;Department
ORG_CASE_E4BC9E3125,路政人员,部门,PlanEntity;Department
MEA_CASE_ECF0F3566B,车辆拖移,措施,PlanEntity;Action
MEA_CASE_B96269C236,现场清理,措施,PlanEntity;Action
EVT_CASE_6DA1DEA6C7,电动自行车碰撞,突发事件,PlanEntity;Event
RES_CASE_8AE47E20B6,电动自行车,应急资源,PlanEntity;Resource
MEA_CASE_FEE3C04977,逆行,措施,PlanEntity;Action
MEA_CASE_0B78E0C051,超速行驶,措施,PlanEntity;Action
RES_CASE_7CD39CFBB2,货车,应急资源,PlanEntity;Resource
ORG_CASE_2479FEF9A4,林业部门,部门,PlanEntity;Department
MEA_CASE_5330B223E5,灭火,措施,PlanEntity;Action
MEA_CASE_B804A6CFD8,疏导,措施,PlanEntity;Action
MEA_CASE_F85C37DD34,拖移,措施,PlanEntity;Action
MEA_CASE_0E2E66ED22,清洗,措施,PlanEntity;Action
MEA_CASE_53ED0B4B6F,遗撒,措施,PlanEntity;Action
EVT_CASE_954A2AAAEA,渡船倾斜,突发事件,PlanEntity;Event
RES_CASE_C54C46856D,渡船,应急资源,PlanEntity;Resource
MEA_CASE_A048795819,超载,措施,PlanEntity;Action
EVT_CASE_2266E83C3A,船体倾斜,突发事件,PlanEntity;Event
RES_CASE_51FEC5892D,高空作业车,应急资源,PlanEntity;Resource
ORG_CASE_6DEAB2960B,工程施工单位,部门,PlanEntity;Department
MEA_CASE_1656C54B26,清理高空工具,措施,PlanEntity;Action
MEA_CASE_852DFF58B2,排查坠物隐患,措施,PlanEntity;Action
MEA_CASE_A0148F49D9,安全整改,措施,PlanEntity;Action
EVT_ROAD_ICE,道路积冰,突发事件,PlanEntity;Event
EVT_CASE_9BDDC88CCC,车辆碰撞,突发事件,PlanEntity;Event
MEA_CASE_AC1DB23CF7,卸货,措施,PlanEntity;Action
EVT_CASE_B9F7125E79,团雾,突发事件,PlanEntity;Event
MEA_CASE_641D68DEBE,追尾,措施,PlanEntity;Action
ORG_CASE_58D13C3595,医疗部门,部门,PlanEntity;Department
RES_CASE_C3722A0388,破拆工具,应急资源,PlanEntity;Resource
EVT_CASE_695C0653A5,交通碰撞事故,突发事件,PlanEntity;Event
RES_CASE_FE2226A75F,限高杆,应急资源,PlanEntity;Resource
MEA_CASE_08CD8158BD,撞断,措施,PlanEntity;Action
EVT_CASE_436A2F6617,交通中断,突发事件,PlanEntity;Event
RES_CASE_286BE65ACA,网约车,应急资源,PlanEntity;Resource
EVT_CASE_363C4CEB8B,道路漫水,突发事件,PlanEntity;Event
RES_CASE_A4BE5D1DA8,沿海临海公路,应急资源,PlanEntity;Resource
EVT_CASE_806E5440A3,天文大潮,突发事件,PlanEntity;Event
EVT_CASE_F674C61725,海水漫路,突发事件,PlanEntity;Event
MEA_CASE_B9C3743B4E,封闭路段,措施,PlanEntity;Action
MEA_CASE_257F792AFD,发布潮汐预警,措施,PlanEntity;Action
MEA_CASE_0D99EDF904,抽排路面积水,措施,PlanEntity;Action
MEA_CASE_3D040506E2,违规占用应急车道,措施,PlanEntity;Action
EVT_CASE_911BCF600E,道路交通碰撞,突发事件,PlanEntity;Event
EVT_CASE_4E7FBD77CD,岩石坠落,突发事件,PlanEntity;Event
EVT_CASE_DADF1DBC4D,岩石风化脱落,突发事件,PlanEntity;Event
EVT_CASE_E66176F5FE,公路封闭,突发事件,PlanEntity;Event
EVT_CASE_F15385E444,货车刹车失灵冲上避险车道,突发事件,PlanEntity;Event
