:START_ID,:END_ID,relation_cn,:TYPE,case_id,case_title,evidence,confidence,source
MEA_CASE_1F94E0BD1F,RES_CASE_005A718E70,调用,REQUIRES,001_港口疏港道路集装箱锁扣脱落坠箱事故_4c1cef4c,港口疏港道路集装箱锁扣脱落坠箱事故,交通部门调集大吨位吊车、集装箱转运车，对坠落集装箱进行吊装、安全转运,0.7500,案例抽取导入
MEA_CASE_B8E6D970FB,ORG_CASE_58D13C3595,实施主体,IMPLEMENTED_BY,001_港口疏港道路集装箱锁扣脱落坠箱事故_4c1cef4c,港口疏港道路集装箱锁扣脱落坠箱事故,医疗部门派遣救护车对受伤驾驶员进行现场处置后转运至医院,0.9000,案例抽取导入
MEA_CASE_6933DFD8F9,ORG_CASE_12F41DBD86,实施主体,IMPLEMENTED_BY,001_港口疏港道路集装箱锁扣脱落坠箱事故_4c1cef4c,港口疏港道路集装箱锁扣脱落坠箱事故,路政部门清理路面散落杂物、修复受损护栏，依据《道路交通安全法》《集装箱运输车辆管理规定》开展事故调查,0.8500,案例抽取导入
MEA_CASE_6BA428A393,RES_CASE_5BCE950EDA,调用,REQUIRES,002_城市有轨电车与私家车路口碰撞事故_0b6ebf40,城市有轨电车与私家车路口碰撞事故,与正常行驶的有轨电车发生正面碰撞,0.6200,案例抽取导入
EVT_CASE_03B7674631,MEA_CASE_6BA428A393,触发,TRIGGERS,002_城市有轨电车与私家车路口碰撞事故_0b6ebf40,城市有轨电车与私家车路口碰撞事故,与正常行驶的有轨电车发生正面碰撞,0.6200,案例抽取导入
MEA_CASE_34B2655045,RES_CASE_5BCE950EDA,调用,REQUIRES,002_城市有轨电车与私家车路口碰撞事故_0b6ebf40,城市有轨电车与私家车路口碰撞事故,有轨电车紧急制动,0.6200,案例抽取导入
EVT_CASE_03B7674631,MEA_CASE_34B2655045,触发,TRIGGERS,002_城市有轨电车与私家车路口碰撞事故_0b6ebf40,城市有轨电车与私家车路口碰撞事故,有轨电车紧急制动,0.6200,案例抽取导入
EVT_CASE_CD00FFB7BC,EVT_CASE_3608E528C9,引发,CAUSES,003_高原公路缺氧致驾驶员昏迷车辆失控事故_7f42eea9,高原公路缺氧致驾驶员昏迷车辆失控事故,高原缺氧突发昏迷，车辆失控,0.9500,案例抽取导入
EVT_CASE_CD00FFB7BC,EVT_CASE_42AEE3CEDE,引发,CAUSES,003_高原公路缺氧致驾驶员昏迷车辆失控事故_7f42eea9,高原公路缺氧致驾驶员昏迷车辆失控事故,驾驶员因高原缺氧突发昏迷，车辆失控,0.9500,案例抽取导入
EVT_PRODUCTION_ACCIDENT,MEA_CASE_80354268E0,触发,TRIGGERS,004_农村逢集日集市路段货车失控冲撞事故_1ad077f7,农村逢集日集市路段货车失控冲撞事故,因刹车失灵失控,0.6200,案例抽取导入
